System Id,System Name,System Size,Postcode,Number Of Panels,Panel Power,Panel Brand,Number Of Inverters,Inverter Power,Inverter Brand,Orientation,Array Tilt,Shade,Install Date,Latitude,Longitude,Status Interval
16894,Andrea GG,3240,,18,180,Sun-Earth TDB125x125-72-P,1,3000,Power-One PVI 3.0,S,25.0,No,20110323,45.628608,9.080902,5
4897,BonixITA-MB_East+West,5760,20861,48,120,Schuco MPE 120 BL01 micromorfo,1,6000,Aurora PowerOne PVI-6000-OUTD,EW,22.0,No,20111025,45.548346,9.282558,5
62009,CasaFALCO,2000,20040,8,250,None,1,2000,ABB UNO,S,30.0,No,20180101,45.5721,9.4242,5
29207,CascinaDelSole,8875,20824,31,250,Isofoton 250 + QPeak G5 325,2,8000,SolarEdge,S,30.0,No,20120521,45.6721,9.0842,5
76016,DottorSolare,4200,20061,12,350,Viessmann VITOVOLT 300M,1,6000,SolarEdge SE6000H,S,1.0,No,20200518,45.5498,9.3437,5
1312,dr01,2990,20855,13,230,Mitsubishi PV-TJ230GA6,1,3000,SMA Sunny Boy 3000TL,S,15.0,No,20110311,45.648913,9.314861,5
81147,DVsolar,5940,20020,18,330,Panasonic VBHN330SJ53,1,6000,FRONIUS PRIMO 6.0,W,45.0,Low,20200624,45.549881,9.078827,5
58979,Filippazzi House,5300,20020,20,265,Zuccotti,1,6000,Huawei,S,20.0,No,20181002,45.576605,9.032677,5
33926,FlatGoesGreen,4020,20831,12,335,SunPower X21-335,1,4000,SMA SunnyBoy 4000TL,S,16.0,Low,20150108,45.6524,9.2003,5
51435,FuZero_3K,3000,20062,12,250,Sharp ND-R250A5,1,3000,Power-One PVI 3.0-OUTD,E,15.0,No,20120806,45.518323,9.512884,5
38296,galbiambro,3000,20867,6,500,Schueco,6,3000,Enecsys Duo Micro Inverter,EW,1.0,No,20131115,45.5665,9.3758,15
76540,GG_PVSystem_2009,2160,20040,10,216,YURAKU/A-P216,1,2500,SMA Sunny boy 2500,S,23.0,No,20090113,45.564004,9.384556,5
82636,gramsci65,4620,20851,14,330,Solar Edge,1,4600,Solar Edge,SE,0.0,No,20210218,45.6124,9.2398,5
25011,Horus18,4000,20093,16,250,Lenus Solar,1,3600,Aurone One,W,17.0,No,20130726,45.542666,9.286241,5
64258,Impianto  FTV Stefano,2880,20846,12,240,REC pv,1,3000,SMA Sunny Boy 3000 TL,SW,1.0,No,20110530,45.6336,9.2548,5
28983,lux fiat,2880,20097,18,160,Shell PowerMax plus160-c,1,3600,power-one PVI 3600 IND,S,19.4,Low,20060906,45.421117,9.275073,5
21992,PiomboLeghe,600000,,3000,200,Unknown,20,30000,Unknown,EW,0.0,No,20110318,45.561779,9.324843,5
62997,rasadd,1200,20013,4,300,solar,1,1000,ital,S,1.0,No,20181113,45.4646,8.8826,5
69558,Royal Palace,5400,21040,20,270,Luxor Eco line 60,1,6000,Solaredge SE6000,S,1.0,No,20190726,45.6588,8.9719,5
42545,SestoSG,4590,20099,17,270,Qcell G4,1,4200,Abb Power ONE,SE,28.0,No,20151216,45.5345,9.234,5
37921,SuxMario78_Paderno,3600,20037,12,300,LG 300N1C-G3,1,3600,ABB,S,19.0,No,20150923,45.568474,9.144372,5
43672,Terrazzo Mamiani,3465,20127,11,315,LG NeON2,1,3500,Solaredge,SW,24.0,Medium,20160513,45.4643,9.1895,5
35617,VillaAleFortunella,4800,20015,20,240,Panasonic,1,5000,Aurora PVI-5000-OUT-TLD,SW,NaN,No,20141105,45.555,8.9456,5
26940,VillaRega,6120,20015,24,255,Schuco MPE 255 PS 60 BC,1,6000,PowerOne Aurora PVI6000-TLOUTD,SW,24.0,No,20131129,45.555,8.9456,5
26252,VV_Home,2400,20020,6,400,Sharp NU-A188EY,1,15000,SMA SB2500-TLST-21,NW,1.0,No,20130531,45.597903,9.070539,5
