Efficiency,System Size,Number Of Panels,Panel Power,Number Of Inverters,Inverter Power,date,totalSnow_cm,mintempC,avgtempC,uvIndex,WindChillC,cloudcover,winddirDegree,WindGustKmph,HeatIndexC,precipMM,FeelsLikeC,visibility,humidity,pressure,DewPointC,windspeedKmph,maxtempC
1.812,2990,13,230,1,3000,356,0.000,3,5,3,4,9,147,2,4,0.000,4,10,78,1025,1,2,8
0.367,2990,13,230,1,3000,355,0.000,4,5,2,5,90,160,3,5,0.000,5,10,71,1024,0,2,6
2.861,2990,13,230,1,3000,354,0.000,4,7,3,4,7,183,11,6,0.000,4,10,61,1018,-1,7,9
2.849,2990,13,230,1,3000,353,0.000,3,6,3,4,0,271,8,5,0.000,4,10,74,1025,1,5,10
2.767,2990,13,230,1,3000,352,0.000,4,6,3,5,6,135,6,6,0.000,5,10,72,1031,1,3,9
2.440,2990,13,230,1,3000,351,0.000,4,7,3,6,3,259,8,6,0.000,6,10,70,1031,1,5,11
2.637,2990,13,230,1,3000,350,0.000,3,7,3,6,1,200,3,6,0.000,6,10,74,1032,2,2,11
2.578,2990,13,230,1,3000,349,0.000,4,6,3,5,5,237,3,5,0.000,5,10,75,1030,1,2,9
1.808,2990,13,230,1,3000,348,0.000,4,6,3,5,11,175,3,5,0.000,5,10,63,1027,-1,2,8
2.863,2990,13,230,1,3000,347,0.000,3,7,3,6,15,285,3,6,0.000,6,10,52,1027,-4,2,10
2.992,2990,13,230,1,3000,346,0.000,2,5,2,3,5,309,6,4,0.000,3,10,51,1021,-5,4,8
2.970,2990,13,230,1,3000,345,0.000,0,4,2,2,21,286,8,3,0.000,2,10,73,1010,-1,5,8
0.239,2990,13,230,1,3000,344,0.000,-1,0,1,-1,93,231,6,0,0.000,-1,1,98,1007,0,4,1
0.334,2990,13,230,1,3000,343,0.800,-1,1,1,-1,63,237,7,0,0.900,-1,3,98,1003,0,4,2
0.146,2990,13,230,1,3000,342,3.900,0,1,1,0,82,181,7,1,4.600,0,6,83,1006,-2,5,2
3.039,2990,13,230,1,3000,341,0.000,3,5,2,4,13,153,7,4,0.000,4,10,47,1012,-6,4,8
2.848,2990,13,230,1,3000,340,0.000,2,5,2,4,26,163,5,4,0.000,4,10,61,1007,-3,4,8
2.764,2990,13,230,1,3000,339,0.000,3,5,2,4,14,187,4,4,0.000,4,10,64,1004,-2,3,7
0.782,2990,13,230,1,3000,338,0.000,3,5,2,4,29,197,4,5,0.000,4,10,53,1010,-4,3,7
2.854,2990,13,230,1,3000,337,0.000,3,6,3,4,4,261,9,5,0.000,4,10,46,1009,-6,6,10
2.101,2990,13,230,1,3000,336,0.000,4,6,2,5,70,235,3,5,0.500,5,8,77,1000,2,3,7
1.245,2990,13,230,1,3000,335,0.000,4,5,1,4,47,142,5,5,0.000,4,10,59,1013,-3,3,6
3.237,2990,13,230,1,3000,334,0.000,2,5,3,3,7,301,13,5,0.000,3,10,41,1017,-8,8,8
2.648,2990,13,230,1,3000,333,0.000,2,5,3,3,6,202,10,5,0.000,3,10,53,1001,-4,6,8
0.494,2990,13,230,1,3000,332,0.000,6,7,2,7,77,183,5,7,5.500,7,9,79,996,4,4,8
1.388,2990,13,230,1,3000,331,0.000,7,8,2,7,89,200,5,8,6.100,7,9,84,997,5,4,8
1.676,2990,13,230,1,3000,330,0.000,7,8,2,8,93,253,6,8,0.800,8,10,86,1001,6,4,9
0.233,2990,13,230,1,3000,329,0.000,7,8,2,7,95,150,5,8,5.700,7,7,88,1012,6,4,8
2.846,2990,13,230,1,3000,328,0.000,7,9,3,8,40,140,4,8,0.000,8,10,80,1022,5,3,11
1.526,2990,13,230,1,3000,327,0.000,9,10,2,10,89,128,4,10,0.300,10,10,84,1022,7,3,10
0.407,2990,13,230,1,3000,326,0.000,9,10,2,9,100,99,8,10,4.600,9,9,88,1010,8,6,10
0.769,2990,13,230,1,3000,325,0.000,8,11,3,11,27,212,4,11,0.000,11,10,67,1014,5,2,13
1.449,2990,13,230,1,3000,324,0.000,8,12,4,11,10,285,5,11,0.000,11,10,64,1024,4,3,15
0.982,2990,13,230,1,3000,323,0.000,10,12,4,12,29,260,5,11,0.000,12,10,76,1028,7,3,15
2.846,2990,13,230,1,3000,322,0.000,9,11,4,11,28,176,4,10,0.000,11,10,86,1024,8,3,13
0.861,2990,13,230,1,3000,321,0.000,10,11,3,11,85,228,5,11,0.300,11,9,86,1019,9,3,12
1.357,2990,13,230,1,3000,320,0.000,10,12,3,12,64,157,6,12,0.000,12,10,80,1020,8,4,14
0.409,2990,13,230,1,3000,319,0.000,11,13,3,12,95,102,5,12,0.800,12,9,80,1020,9,3,14
0.208,2990,13,230,1,3000,318,0.000,10,11,3,11,95,72,8,11,6.100,11,10,91,1014,10,6,11
1.459,2990,13,230,1,3000,317,0.000,10,11,3,11,68,91,6,11,2.000,11,9,89,1016,9,4,12
2.811,2990,13,230,1,3000,316,0.000,10,13,4,13,30,184,5,12,0.000,13,10,75,1019,8,3,15
1.091,2990,13,230,1,3000,315,0.000,10,14,4,13,8,279,5,13,0.000,13,10,61,1024,6,3,18
1.042,2990,13,230,1,3000,314,0.000,8,11,4,10,11,169,3,10,0.000,10,10,69,1028,5,2,14
2.020,2990,13,230,1,3000,313,0.000,7,10,3,9,31,99,5,9,0.000,9,10,73,1024,5,3,13
0.929,2990,13,230,1,3000,312,0.000,7,10,4,9,13,192,6,9,0.000,9,10,56,1016,1,4,13
3.539,2990,13,230,1,3000,311,0.000,8,12,3,11,28,242,6,11,0.000,11,10,47,1021,0,4,14
3.146,2990,13,230,1,3000,310,0.000,7,10,2,9,54,249,7,9,0.000,9,10,57,1023,1,5,11
3.790,2990,13,230,1,3000,309,0.000,7,11,3,9,31,217,9,10,0.200,9,10,69,1018,4,6,13
3.821,2990,13,230,1,3000,308,0.000,9,10,3,10,81,273,7,10,5.300,10,9,87,1005,8,5,11
0.170,2990,13,230,1,3000,307,0.000,9,11,3,10,98,166,9,11,6.000,10,10,87,1004,9,6,11
3.568,2990,13,230,1,3000,306,0.000,8,12,3,11,38,185,11,11,1.400,11,10,71,1002,6,7,15
0.623,2990,13,230,1,3000,304,0.000,12,12,3,12,97,216,3,12,0.600,12,9,86,1019,10,3,12
0.613,2990,13,230,1,3000,303,0.000,11,13,3,13,54,131,6,13,0.900,13,8,63,1020,6,4,15
3.155,2990,13,230,1,3000,302,0.000,11,14,3,14,41,86,5,14,0.000,14,10,57,1019,5,4,16
3.778,2990,13,230,1,3000,301,0.000,11,16,5,15,0,108,4,15,0.000,15,10,56,1023,6,3,21
3.852,2990,13,230,1,3000,300,0.000,11,15,5,14,5,135,4,14,0.000,14,10,57,1025,5,3,19
3.704,2990,13,230,1,3000,299,0.000,10,15,4,13,4,114,4,13,0.000,13,10,61,1021,6,3,19
1.478,2990,13,230,1,3000,298,0.000,11,14,4,14,17,119,5,14,0.000,14,10,65,1023,7,3,18
2.760,2990,13,230,1,3000,297,0.000,13,16,4,16,40,118,5,15,0.000,16,10,67,1026,9,4,20
2.598,2990,13,230,1,3000,296,0.000,12,16,5,15,8,68,7,15,0.000,15,10,61,1021,8,4,19
3.778,2990,13,230,1,3000,295,0.000,12,17,5,16,11,209,4,16,0.000,16,10,66,1015,9,3,21
0.387,2990,13,230,1,3000,294,0.000,14,15,3,15,83,81,4,15,1.000,15,7,85,1015,12,3,16
1.494,2990,13,230,1,3000,293,0.000,13,15,3,14,54,254,4,14,0.400,14,9,68,1025,9,3,16
2.167,2990,13,230,1,3000,292,0.000,13,16,4,15,49,212,4,15,0.000,15,10,59,1026,7,2,19
3.836,2990,13,230,1,3000,291,0.000,12,17,5,16,15,120,4,16,0.000,16,10,58,1023,7,3,21
4.166,2990,13,230,1,3000,290,0.000,11,16,5,15,4,155,4,15,0.000,15,10,57,1021,6,3,20
4.076,2990,13,230,1,3000,289,0.000,11,16,5,15,11,108,4,15,0.000,15,10,53,1018,5,3,20
4.036,2990,13,230,1,3000,288,0.000,10,14,4,14,6,152,4,13,0.000,14,10,59,1020,5,3,17
4.254,2990,13,230,1,3000,286,0.000,10,15,5,14,12,110,8,14,0.100,14,10,54,1016,4,6,18
3.899,2990,13,230,1,3000,285,0.000,11,14,3,14,37,89,7,13,0.000,14,10,60,1017,6,5,17
4.298,2990,13,230,1,3000,284,0.000,10,15,4,14,7,112,5,14,0.000,14,10,57,1020,5,4,18
3.857,2990,13,230,1,3000,283,0.000,12,14,3,14,59,80,7,14,0.000,14,10,58,1022,5,5,16
2.233,2990,13,230,1,3000,282,0.000,13,14,3,14,83,40,6,14,0.000,14,10,69,1024,8,4,15
3.173,2990,13,230,1,3000,281,0.000,10,15,5,14,13,139,6,14,0.000,14,10,59,1021,6,4,19
3.247,2990,13,230,1,3000,280,0.000,9,15,3,13,40,204,10,13,0.000,13,10,59,1017,5,6,19
1.530,2990,13,230,1,3000,279,0.000,10,12,3,12,82,146,15,13,12.500,12,9,87,1013,10,10,14
1.250,2990,13,230,1,3000,278,0.000,16,17,4,17,86,107,14,17,22.600,17,9,91,1013,16,8,19
0.343,2990,13,230,1,3000,277,0.000,16,17,4,17,78,115,11,17,2.500,17,10,85,1016,14,7,19
0.842,2990,13,230,1,3000,276,0.000,15,18,4,17,57,183,6,17,0.200,17,10,72,1017,12,4,19
2.904,2990,13,230,1,3000,275,0.000,16,19,5,18,41,86,5,19,0.000,18,10,61,1019,11,4,21
4.208,2990,13,230,1,3000,274,0.000,16,19,5,18,29,115,6,19,0.000,18,10,59,1023,10,5,22
3.627,2990,13,230,1,3000,273,0.000,15,18,4,18,46,100,7,18,0.000,18,10,67,1023,11,5,21
4.366,2990,13,230,1,3000,272,0.000,17,19,4,18,59,137,12,19,2.600,18,10,74,1018,13,7,21
4.133,2990,13,230,1,3000,271,0.000,18,23,6,22,31,74,6,23,0.100,23,10,69,1019,16,4,28
3.195,2990,13,230,1,3000,270,0.000,17,22,6,21,36,190,4,21,0.300,21,10,75,1017,16,3,26
0.499,2990,13,230,1,3000,269,0.000,18,19,4,19,99,190,2,19,2.100,19,10,91,1019,17,1,19
2.582,2990,13,230,1,3000,268,0.000,16,21,6,20,18,88,7,21,0.000,20,10,66,1020,13,5,25
4.673,2990,13,230,1,3000,267,0.000,15,22,6,20,3,167,4,21,0.000,21,10,65,1018,13,3,27
0.240,2990,13,230,1,3000,356,0.000,5,9,2,8,83,231,3,8,1.200,8,7,89,1026,7,2,10
0.215,2990,13,230,1,3000,355,0.000,2,7,2,7,100,166,3,7,3.700,7,5,90,1025,6,2,8
0.575,2990,13,230,1,3000,354,0.000,1,7,2,6,93,208,2,7,1.200,6,9,80,1026,4,2,8
1.214,2990,13,230,1,3000,353,0.000,7,8,3,8,23,140,2,8,0.000,8,10,78,1027,4,2,9
1.301,2990,13,230,1,3000,352,0.000,8,8,2,8,67,237,3,8,0.000,8,10,79,1026,5,2,9
0.585,2990,13,230,1,3000,351,0.000,7,8,2,8,82,248,3,8,0.500,8,9,75,1023,3,2,8
0.460,2990,13,230,1,3000,350,0.000,4,8,2,7,52,216,3,7,0.000,7,10,60,1019,0,2,9
2.112,2990,13,230,1,3000,349,0.000,5,7,3,7,18,221,2,7,0.000,7,10,59,1017,0,2,8
2.901,2990,13,230,1,3000,348,0.000,5,8,3,7,8,278,4,7,0.000,7,10,59,1011,0,3,10
0.661,2990,13,230,1,3000,347,0.000,6,6,2,6,71,138,3,6,0.100,6,10,73,1003,2,2,7
0.608,2990,13,230,1,3000,346,0.000,2,6,2,5,99,182,3,6,1.100,5,8,78,1006,2,2,7
1.266,2990,13,230,1,3000,345,0.000,5,6,2,6,54,188,5,6,0.500,6,9,54,1007,-3,3,8
0.146,2990,13,230,1,3000,344,0.000,4,7,2,5,83,299,9,7,9.900,5,9,67,1004,1,7,8
0.294,2990,13,230,1,3000,343,0.000,0,5,1,3,98,269,9,5,21.300,3,6,82,1002,3,7,6
0.356,2990,13,230,1,3000,342,0.000,1,6,2,3,84,104,11,6,12.600,3,8,84,1002,3,8,6
