Efficiency,System Size,Number Of Panels,Panel Power,Number Of Inverters,Inverter Power,date,totalSnow_cm,mintempC,avgtempC,uvIndex,WindChillC,cloudcover,winddirDegree,WindGustKmph,HeatIndexC,precipMM,FeelsLikeC,visibility,humidity,pressure,DewPointC,windspeedKmph,maxtempC
5.792,2990,13,230,1,3000,99,0.000,10,15,3,13,45,214,15,13,0.600,13,10,56,999,3,11,18
4.941,2990,13,230,1,3000,98,0.000,9,15,3,14,43,185,7,14,0.000,14,10,69,1004,8,5,18
5.160,2990,13,230,1,3000,97,0.000,9,15,4,13,28,234,9,13,0.000,13,10,61,1004,6,7,19
4.887,2990,13,230,1,3000,96,0.000,7,12,3,11,47,143,5,11,0.000,11,10,62,1010,4,4,15
5.753,2990,13,230,1,3000,95,0.000,6,12,4,11,13,248,5,11,0.000,11,10,58,1012,2,4,17
3.429,2990,13,230,1,3000,94,0.000,5,10,2,9,57,170,6,9,0.600,9,10,67,1018,3,4,13
4.329,2990,13,230,1,3000,93,0.000,4,6,2,5,86,49,7,6,0.100,5,10,81,1014,3,5,8
1.811,2990,13,230,1,3000,92,0.000,4,7,2,4,69,28,13,6,1.000,4,10,74,999,2,9,8
2.561,2990,13,230,1,3000,91,0.000,7,9,2,8,88,107,10,9,5.600,8,10,84,991,6,7,10
2.519,2990,13,230,1,3000,90,0.000,9,12,3,11,81,169,6,11,0.200,11,10,77,995,7,5,14
1.379,2990,13,230,1,3000,89,0.000,8,9,2,9,100,183,7,9,5.500,9,6,83,1006,7,5,10
4.352,2990,13,230,1,3000,88,0.000,10,14,3,13,54,134,8,13,0.000,13,10,49,1017,3,6,17
4.947,2990,13,230,1,3000,87,0.000,10,17,5,15,0,124,7,15,0.000,15,10,41,1026,1,5,22
4.723,2990,13,230,1,3000,86,0.000,10,15,5,14,12,100,7,14,0.000,14,10,44,1028,2,5,19
5.034,2990,13,230,1,3000,85,0.000,10,16,5,14,3,116,7,14,0.000,14,10,39,1026,0,5,20
5.227,2990,13,230,1,3000,84,0.000,9,16,5,14,0,236,6,14,0.000,14,10,35,1025,-1,4,21
5.187,2990,13,230,1,3000,83,0.000,9,17,5,15,0,234,5,15,0.000,15,10,29,1026,-4,4,22
5.179,2990,13,230,1,3000,82,0.000,7,15,5,13,0,202,6,13,0.000,13,10,32,1031,-4,4,21
5.132,2990,13,230,1,3000,81,0.000,5,12,4,10,1,117,5,10,0.000,10,10,38,1033,-4,4,18
4.790,2990,13,230,1,3000,80,0.000,4,11,4,9,8,128,6,9,0.000,9,10,36,1036,-5,4,16
4.873,2990,13,230,1,3000,79,0.000,5,9,3,7,27,103,10,8,0.000,7,10,40,1036,-4,8,12
4.718,2990,13,230,1,3000,78,0.000,7,11,4,9,33,101,11,10,0.000,9,10,55,1034,1,8,14
1.942,2990,13,230,1,3000,77,0.000,10,11,3,11,93,97,9,11,0.000,11,10,59,1031,3,6,12
1.061,2990,13,230,1,3000,76,0.000,10,12,3,11,85,86,8,11,0.000,11,10,70,1025,6,6,13
3.005,2990,13,230,1,3000,75,0.000,8,13,4,12,24,240,8,12,0.000,12,10,64,1025,5,6,17
1.664,2990,13,230,1,3000,74,0.000,7,8,2,8,86,276,6,8,0.300,8,9,80,1034,5,4,9
2.619,2990,13,230,1,3000,73,0.000,5,7,2,7,83,180,5,7,0.000,7,10,55,1032,-2,4,9
4.464,2990,13,230,1,3000,72,0.000,3,8,2,6,31,119,7,7,0.000,6,10,43,1028,-5,5,11
2.573,2990,13,230,1,3000,71,0.000,4,6,2,4,79,106,9,6,0.000,4,10,51,1027,-4,7,8
