Efficiency,System Size,Number Of Panels,Panel Power,Number Of Inverters,Inverter Power,date,totalSnow_cm,mintempC,avgtempC,uvIndex,WindChillC,cloudcover,winddirDegree,WindGustKmph,HeatIndexC,precipMM,FeelsLikeC,visibility,humidity,pressure,DewPointC,windspeedKmph,maxtempC
3.029,2990,13,230,1,3000,266,0.000,16,20,5,19,27,177,6,20,0.000,19,10,64,1021,12,4,24
3.849,2990,13,230,1,3000,265,0.000,16,20,5,19,34,129,6,19,0.000,19,10,66,1021,12,4,23
4.318,2990,13,230,1,3000,264,0.000,14,19,5,18,18,107,6,19,0.000,18,10,64,1023,11,4,24
3.661,2990,13,230,1,3000,263,0.000,14,19,4,18,48,142,6,18,0.500,18,10,73,1013,13,4,24
1.250,2990,13,230,1,3000,262,0.000,17,19,4,18,79,118,17,18,7.200,18,10,89,1010,16,10,21
2.886,2990,13,230,1,3000,261,0.000,17,22,5,21,53,113,6,21,2.700,21,10,78,1011,17,4,25
4.853,2990,13,230,1,3000,260,0.000,18,22,6,21,53,199,7,21,3.800,21,10,78,1012,16,4,25
1.968,2990,13,230,1,3000,259,0.000,20,23,5,22,67,164,6,24,2.600,24,10,76,1015,18,4,26
1.944,2990,13,230,1,3000,258,0.000,20,26,6,24,46,229,7,25,0.300,25,10,60,1016,15,5,30
2.865,2990,13,230,1,3000,257,0.000,20,25,7,24,29,268,6,25,0.000,25,10,44,1016,11,4,29
4.713,2990,13,230,1,3000,256,0.000,19,28,7,26,8,169,4,26,0.000,26,10,36,1015,9,3,34
4.862,2990,13,230,1,3000,255,0.000,19,28,7,25,8,126,6,26,0.000,26,10,41,1015,11,4,34
4.560,2990,13,230,1,3000,254,0.000,19,27,7,25,15,143,7,25,0.000,25,10,38,1016,9,5,33
3.048,2990,13,230,1,3000,253,0.000,18,27,7,25,25,153,6,24,0.000,24,10,34,1016,7,4,33
4.715,2990,13,230,1,3000,252,0.000,17,27,7,25,10,95,8,24,0.000,24,10,31,1017,5,5,33
4.619,2990,13,230,1,3000,251,0.000,19,26,7,25,39,92,10,24,0.000,24,10,33,1018,7,6,31
4.337,2990,13,230,1,3000,250,0.000,19,27,7,26,18,101,9,26,0.000,26,10,32,1021,7,6,33
5.174,2990,13,230,1,3000,249,0.000,20,28,7,26,30,90,8,27,0.000,27,10,36,1020,9,5,34
4.088,2990,13,230,1,3000,248,0.000,19,28,7,26,19,99,8,27,0.000,27,10,40,1016,10,5,34
4.790,2990,13,230,1,3000,247,0.000,19,27,7,26,11,105,8,26,0.000,26,10,40,1015,10,5,34
4.681,2990,13,230,1,3000,246,0.000,19,26,7,24,24,142,8,24,0.000,24,10,44,1019,10,5,30
5.019,2990,13,230,1,3000,245,0.000,19,25,7,24,20,96,10,24,0.000,24,10,44,1020,10,7,30
5.308,2990,13,230,1,3000,244,0.000,17,27,7,25,10,102,6,25,0.000,25,10,44,1018,10,4,33
4.952,2990,13,230,1,3000,243,0.000,16,26,7,24,12,131,5,24,0.000,24,10,43,1015,9,4,32
4.970,2990,13,230,1,3000,242,0.000,18,23,5,22,40,114,7,22,0.000,22,10,45,1013,9,5,27
5.624,2990,13,230,1,3000,241,0.000,15,23,6,22,20,124,7,21,0.000,21,10,46,1012,8,5,30
5.054,2990,13,230,1,3000,240,0.000,16,22,5,20,56,153,11,20,2.900,20,10,60,1012,10,8,25
3.277,2990,13,230,1,3000,239,0.000,17,19,4,19,51,133,12,20,0.100,19,10,67,1010,13,10,20
5.497,2990,13,230,1,3000,238,0.000,18,27,7,26,12,177,9,26,0.000,26,10,43,1011,11,6,34
3.865,2990,13,230,1,3000,237,0.000,20,26,6,25,43,107,7,24,1.200,24,10,50,1015,12,5,30
4.972,2990,13,230,1,3000,236,0.000,20,26,7,24,36,77,10,24,0.300,24,10,48,1014,12,7,29
4.154,2990,13,230,1,3000,235,0.000,22,26,6,25,59,164,12,26,3.400,26,10,58,1014,15,8,29
4.615,2990,13,230,1,3000,234,0.000,24,31,8,29,15,191,5,29,0.100,29,10,37,1016,12,4,36
5.093,2990,13,230,1,3000,233,0.000,23,30,8,29,7,148,5,29,0.000,29,10,37,1016,12,4,35
5.022,2990,13,230,1,3000,232,0.000,23,29,7,28,25,125,6,28,0.000,28,10,37,1014,11,5,33
5.045,2990,13,230,1,3000,231,0.000,21,28,7,26,18,102,7,27,0.000,27,10,42,1013,12,5,33
5.745,2990,13,230,1,3000,230,0.000,20,26,6,25,29,101,11,25,0.500,25,10,47,1013,12,8,30
5.786,2990,13,230,1,3000,229,0.000,19,26,7,24,19,233,11,25,27.900,25,9,57,1010,14,7,30
4.182,2990,13,230,1,3000,228,0.000,24,31,7,29,35,246,7,30,0.500,30,10,49,1010,16,5,35
5.204,2990,13,230,1,3000,227,0.000,25,33,7,32,31,76,6,33,2.400,33,10,45,1014,17,4,39
5.219,2990,13,230,1,3000,226,0.000,27,34,8,32,5,158,5,33,0.000,33,10,37,1018,15,4,39
5.138,2990,13,230,1,3000,225,0.000,25,33,8,32,6,142,7,34,0.000,34,10,43,1019,16,5,38
5.381,2990,13,230,1,3000,224,0.000,25,32,8,30,3,153,6,32,0.000,32,10,52,1018,19,4,37
5.558,2990,13,230,1,3000,223,0.000,23,31,7,29,14,112,5,31,0.400,31,10,56,1016,18,3,35
5.583,2990,13,230,1,3000,222,0.000,22,28,7,26,8,68,6,28,0.000,28,10,54,1017,16,4,32
5.363,2990,13,230,1,3000,221,0.000,19,26,7,24,24,154,6,25,0.000,25,10,65,1017,17,4,29
4.585,2990,13,230,1,3000,220,0.000,19,23,5,22,65,212,9,23,6.700,23,10,79,1010,18,6,26
2.256,2990,13,230,1,3000,219,0.000,20,23,5,23,62,115,7,24,2.200,24,10,73,1010,18,5,25
5.785,2990,13,230,1,3000,218,0.000,18,24,5,22,36,118,5,23,1.800,23,10,73,1009,17,4,28
5.934,2990,13,230,1,3000,217,0.000,17,22,5,21,35,233,8,21,5.200,21,10,74,1008,15,6,25
1.315,2990,13,230,1,3000,216,0.000,17,18,4,18,79,113,6,18,22.600,18,8,91,1013,17,4,19
3.913,2990,13,230,1,3000,215,0.000,17,22,5,21,71,155,6,22,5.700,22,10,80,1015,17,4,25
5.490,2990,13,230,1,3000,214,0.000,17,24,5,22,29,149,6,23,5.500,23,10,73,1012,17,4,28
2.962,2990,13,230,1,3000,213,0.000,20,23,5,22,73,259,8,23,35.800,23,8,86,1007,19,4,25
4.397,2990,13,230,1,3000,212,0.000,21,26,6,25,61,256,9,27,7.700,27,9,77,1008,20,6,29
4.349,2990,13,230,1,3000,211,0.000,21,28,6,26,47,270,7,28,6.000,28,9,71,1010,20,5,32
5.594,2990,13,230,1,3000,210,0.000,21,27,6,26,43,124,5,28,1.400,28,10,67,1013,19,3,31
3.031,2990,13,230,1,3000,208,0.000,19,23,5,22,74,128,9,23,23.600,23,8,83,1015,19,5,26
3.214,2990,13,230,1,3000,207,0.000,21,25,5,24,76,215,11,25,33.000,25,7,80,1011,20,6,28
3.095,2990,13,230,1,3000,206,0.000,23,29,6,28,49,160,6,28,0.300,28,10,48,1011,15,5,32
3.936,2990,13,230,1,3000,205,0.000,25,31,8,30,25,155,6,30,0.800,30,10,47,1013,16,5,35
5.516,2990,13,230,1,3000,204,0.000,23,30,7,28,25,203,7,29,0.400,29,10,48,1014,15,5,34
5.353,2990,13,230,1,3000,203,0.000,22,29,6,27,61,110,9,29,4.900,29,9,61,1017,18,6,33
5.589,2990,13,230,1,3000,202,0.000,22,29,6,27,41,90,8,29,1.300,29,10,58,1016,17,6,33
5.692,2990,13,230,1,3000,201,0.000,21,27,6,26,52,79,7,27,7.700,27,9,64,1014,18,5,31
6.005,2990,13,230,1,3000,200,0.000,23,30,7,28,20,95,10,29,0.300,29,10,47,1011,15,7,34
4.789,2990,13,230,1,3000,199,0.000,21,30,7,28,13,191,8,28,0.000,28,10,45,1010,13,5,35
4.758,2990,13,230,1,3000,198,0.000,18,26,7,24,18,234,9,24,0.000,24,10,59,1012,14,6,30
4.989,2990,13,230,1,3000,197,0.000,19,22,5,21,69,110,9,23,4.900,23,10,70,1014,16,7,24
