Efficiency,System Size,Number Of Panels,Panel Power,Number Of Inverters,Inverter Power,date,totalSnow_cm,mintempC,avgtempC,uvIndex,WindChillC,cloudcover,winddirDegree,WindGustKmph,HeatIndexC,precipMM,FeelsLikeC,visibility,humidity,pressure,DewPointC,windspeedKmph,maxtempC
4.790,2990,13,230,1,3000,80,0.000,4,11,4,9,8,128,6,9,0.000,9,10,36,1036,-5,4,16
4.873,2990,13,230,1,3000,79,0.000,5,9,3,7,27,103,10,8,0.000,7,10,40,1036,-4,8,12
4.718,2990,13,230,1,3000,78,0.000,7,11,4,9,33,101,11,10,0.000,9,10,55,1034,1,8,14
1.942,2990,13,230,1,3000,77,0.000,10,11,3,11,93,97,9,11,0.000,11,10,59,1031,3,6,12
1.061,2990,13,230,1,3000,76,0.000,10,12,3,11,85,86,8,11,0.000,11,10,70,1025,6,6,13
3.005,2990,13,230,1,3000,75,0.000,8,13,4,12,24,240,8,12,0.000,12,10,64,1025,5,6,17
1.664,2990,13,230,1,3000,74,0.000,7,8,2,8,86,276,6,8,0.300,8,9,80,1034,5,4,9
2.619,2990,13,230,1,3000,73,0.000,5,7,2,7,83,180,5,7,0.000,7,10,55,1032,-2,4,9
4.464,2990,13,230,1,3000,72,0.000,3,8,2,6,31,119,7,7,0.000,6,10,43,1028,-5,5,11
2.573,2990,13,230,1,3000,71,0.000,4,6,2,4,79,106,9,6,0.000,4,10,51,1027,-4,7,8
1.995,2990,13,230,1,3000,70,0.000,5,8,2,7,71,98,11,8,0.000,7,10,57,1025,0,8,11
4.686,2990,13,230,1,3000,69,0.000,4,10,3,9,8,116,5,9,0.000,9,10,48,1026,-2,4,13
4.917,2990,13,230,1,3000,68,0.000,3,9,3,8,3,195,5,8,0.000,8,10,49,1025,-3,4,14
1.966,2990,13,230,1,3000,67,0.000,4,6,2,4,46,93,10,6,0.000,4,10,55,1021,-3,7,8
4.609,2990,13,230,1,3000,66,0.000,4,8,2,6,25,167,8,7,0.000,6,10,49,1017,-3,6,11
4.219,2990,13,230,1,3000,65,0.000,4,7,2,6,50,128,5,6,0.000,6,10,53,1017,-3,4,10
3.872,2990,13,230,1,3000,64,0.000,4,7,3,5,39,116,9,7,0.000,5,10,53,1016,-3,7,10
3.757,2990,13,230,1,3000,63,0.000,5,6,2,4,74,97,13,6,0.000,4,10,66,1014,0,10,8
4.472,2990,13,230,1,3000,62,0.000,5,10,3,8,10,250,5,8,0.000,8,10,54,1015,0,4,13
3.583,2990,13,230,1,3000,61,0.000,3,8,3,7,13,227,6,7,0.000,7,10,38,1025,-7,4,11
4.640,2990,13,230,1,3000,60,0.100,3,8,2,4,30,163,13,6,0.100,4,10,44,1029,-6,10,11
4.700,2990,13,230,1,3000,59,0.000,4,9,3,7,0,166,8,8,0.000,7,10,40,1026,-5,6,13
4.680,2990,13,230,1,3000,58,0.000,4,9,3,7,10,171,9,8,0.000,7,10,39,1028,-6,7,13
4.782,2990,13,230,1,3000,57,0.000,4,9,3,7,4,177,8,8,0.000,7,10,42,1027,-6,6,13
4.342,2990,13,230,1,3000,56,0.000,6,10,3,8,18,192,7,9,0.000,8,10,50,1019,-2,5,13
2.937,2990,13,230,1,3000,55,0.000,7,10,3,9,6,148,4,9,0.000,9,10,51,1024,-1,3,13
4.475,2990,13,230,1,3000,54,0.000,6,11,4,10,6,111,6,10,0.000,10,10,43,1025,-2,4,15
4.603,2990,13,230,1,3000,53,0.000,7,12,4,9,3,332,17,11,0.000,9,10,33,1016,-6,12,16
3.480,2990,13,230,1,3000,52,0.000,7,11,4,9,15,272,12,10,0.000,9,10,41,1011,-4,9,16
3.925,2990,13,230,1,3000,51,0.000,6,10,3,9,14,207,6,9,0.000,9,10,58,1018,0,4,13
2.370,2990,13,230,1,3000,50,0.000,8,9,2,9,82,153,4,9,0.400,9,10,86,1016,6,3,10
1.369,2990,13,230,1,3000,49,0.000,6,9,3,8,20,97,6,9,0.000,8,10,76,1018,4,4,13
4.292,2990,13,230,1,3000,48,0.000,4,9,3,7,4,277,7,8,0.000,7,10,67,1017,2,5,13
3.185,2990,13,230,1,3000,47,0.000,4,7,2,5,35,265,7,6,0.000,5,10,66,1019,0,5,11
0.493,2990,13,230,1,3000,46,0.000,3,4,1,3,100,255,7,4,12.000,3,8,92,1016,3,5,5
0.597,2990,13,230,1,3000,45,0.000,4,5,2,5,64,128,4,5,0.100,5,10,68,1020,-1,3,7
3.955,2990,13,230,1,3000,44,0.000,4,7,3,7,12,110,4,7,0.000,7,10,53,1025,-2,3,10
3.922,2990,13,230,1,3000,43,0.000,5,7,2,6,56,171,8,7,0.700,6,9,58,1029,-1,6,10
2.462,2990,13,230,1,3000,42,0.000,7,7,2,7,67,105,5,7,1.500,7,9,77,1023,4,4,8
1.381,2990,13,230,1,3000,41,0.000,6,8,2,8,52,303,7,8,0.000,8,10,54,1027,-1,4,10
3.783,2990,13,230,1,3000,40,0.000,5,9,3,8,6,292,5,8,0.000,8,10,37,1032,-5,3,14
3.916,2990,13,230,1,3000,39,0.000,4,9,3,7,3,260,6,7,0.000,7,10,26,1030,-11,4,13
4.107,2990,13,230,1,3000,38,0.000,6,11,4,7,1,202,21,9,0.000,7,10,34,1016,-8,15,15
1.596,2990,13,230,1,3000,37,0.000,6,8,3,8,8,248,6,8,0.000,8,10,53,1022,-2,4,11
2.637,2990,13,230,1,3000,36,0.000,5,8,3,8,7,91,3,8,0.000,8,10,72,1021,3,2,12
2.491,2990,13,230,1,3000,35,0.000,5,8,2,7,17,120,4,7,0.000,7,10,68,1020,2,3,13
2.935,2990,13,230,1,3000,34,0.000,6,9,3,8,23,86,8,8,0.000,8,10,59,1019,1,5,11
3.709,2990,13,230,1,3000,33,0.000,5,11,4,8,5,295,13,9,0.000,8,10,50,1013,-1,8,17
3.815,2990,13,230,1,3000,32,0.000,5,8,3,5,5,317,16,7,0.000,5,10,30,1013,-9,11,12
3.245,2990,13,230,1,3000,31,0.000,4,6,2,5,36,182,9,6,0.000,5,10,65,1013,0,6,10
3.643,2990,13,230,1,3000,30,0.000,4,8,3,6,8,243,8,7,0.000,6,10,52,1023,-2,5,11
3.428,2990,13,230,1,3000,29,0.000,4,7,3,6,6,246,5,6,0.000,6,10,44,1030,-5,4,10
3.698,2990,13,230,1,3000,28,0.000,4,8,3,6,4,202,11,7,0.000,6,10,48,1025,-4,6,13
1.477,2990,13,230,1,3000,27,0.000,3,7,3,6,5,248,6,6,0.000,6,10,61,1027,-1,4,10
0.618,2990,13,230,1,3000,26,0.000,3,7,3,6,0,251,4,6,0.000,6,10,67,1029,0,3,11
2.386,2990,13,230,1,3000,25,0.000,4,6,3,5,35,220,5,6,0.000,5,10,65,1033,-1,3,8
2.907,2990,13,230,1,3000,24,0.000,2,6,3,4,0,135,4,5,0.000,4,10,59,1032,-3,3,10
2.592,2990,13,230,1,3000,23,0.000,2,6,3,5,3,153,5,5,0.000,5,10,56,1028,-3,3,10
1.956,2990,13,230,1,3000,22,0.000,1,4,2,3,4,249,7,4,0.000,3,10,61,1027,-3,5,8
1.769,2990,13,230,1,3000,21,0.000,2,4,2,2,6,76,9,4,0.000,2,10,50,1022,-6,6,7
1.780,2990,13,230,1,3000,20,0.000,3,7,3,5,4,290,10,6,0.000,5,10,58,1019,-2,6,10
2.374,2990,13,230,1,3000,19,0.000,3,7,3,6,1,241,5,6,0.000,6,10,61,1030,-1,3,10
3.068,2990,13,230,1,3000,18,0.000,4,7,3,6,1,124,5,6,0.000,6,10,54,1032,-2,3,11
3.463,2990,13,230,1,3000,17,0.000,3,6,2,5,15,175,6,6,0.000,5,10,54,1027,-3,4,10
3.066,2990,13,230,1,3000,16,0.000,4,7,3,6,3,253,5,6,0.000,6,10,59,1025,-1,3,10
3.237,2990,13,230,1,3000,15,0.000,4,8,3,6,0,194,6,7,0.000,6,10,52,1025,-3,3,12
3.219,2990,13,230,1,3000,14,0.000,2,6,3,4,0,273,8,5,0.000,4,10,42,1033,-7,5,10
3.226,2990,13,230,1,3000,13,0.000,1,4,2,3,10,214,5,3,0.000,3,10,46,1036,-7,3,9
3.105,2990,13,230,1,3000,12,0.000,1,5,2,3,6,178,6,4,0.000,3,10,43,1032,-8,4,8
3.237,2990,13,230,1,3000,11,0.000,2,6,3,4,0,93,6,4,0.000,4,10,42,1023,-7,3,9
2.857,2990,13,230,1,3000,10,0.000,2,4,2,3,29,221,5,4,0.000,3,10,53,1010,-5,4,7
2.235,2990,13,230,1,3000,9,0.000,2,5,2,3,10,205,7,4,0.000,3,10,59,1009,-4,5,10
2.930,2990,13,230,1,3000,8,0.000,2,4,2,3,10,220,5,3,0.000,3,10,55,1016,-5,4,7
1.920,2990,13,230,1,3000,7,0.000,2,4,1,3,41,164,5,4,0.000,3,10,56,1021,-4,3,6
2.467,2990,13,230,1,3000,6,0.000,3,5,3,4,21,188,6,5,0.000,4,10,64,1016,-1,4,8
0.352,2990,13,230,1,3000,5,0.000,7,7,2,6,83,185,7,7,7.000,6,6,88,1003,5,5,8
0.215,2990,13,230,1,3000,4,0.000,6,7,2,7,69,198,5,7,0.000,7,10,82,1015,4,3,8
1.023,2990,13,230,1,3000,3,0.000,6,8,3,8,5,229,5,8,0.000,8,10,72,1021,3,3,11
1.782,2990,13,230,1,3000,2,0.000,7,9,3,9,9,287,7,9,0.000,9,10,52,1024,-1,4,12
2.828,2990,13,230,1,3000,1,0.000,7,10,3,9,7,300,7,9,0.000,9,10,55,1025,0,4,12
2.842,2990,13,230,1,3000,365,0.000,7,10,4,9,0,286,5,9,0.000,9,10,71,1027,4,3,14
2.269,2990,13,230,1,3000,364,0.000,5,9,3,8,5,179,5,8,0.000,8,10,77,1020,4,3,12
1.861,2990,13,230,1,3000,363,0.000,5,7,3,6,9,250,6,7,0.000,6,10,75,1011,2,3,9
0.605,2990,13,230,1,3000,362,0.000,6,7,2,7,69,240,5,7,0.000,7,10,77,1009,3,4,9
0.303,2990,13,230,1,3000,361,0.000,5,5,2,5,77,245,5,5,1.900,5,9,80,1009,2,3,6
1.487,2990,13,230,1,3000,360,0.000,4,5,2,5,62,170,4,5,0.000,5,10,66,1009,-1,3,6
0.297,2990,13,230,1,3000,359,0.000,4,5,2,5,66,149,3,5,0.000,5,10,64,1010,-1,2,6
0.204,2990,13,230,1,3000,358,0.000,4,5,2,5,28,280,5,5,0.000,5,10,53,1018,-4,3,6
1.537,2990,13,230,1,3000,357,0.000,2,4,2,4,17,290,5,4,0.000,4,10,67,1024,-2,3,7
4.947,2990,13,230,1,3000,80,0.000,4,8,2,6,34,147,7,7,0.000,6,10,45,1018,-4,6,10
3.831,2990,13,230,1,3000,78,0.000,5,8,2,5,88,87,14,7,0.400,5,10,53,1016,-2,11,9
3.638,2990,13,230,1,3000,77,0.000,7,10,2,9,64,153,8,9,0.200,9,10,40,1018,-4,6,12
4.683,2990,13,230,1,3000,76,0.000,7,11,3,9,26,222,8,10,0.000,9,10,31,1018,-6,6,14
5.479,2990,13,230,1,3000,75,0.000,8,11,4,8,2,339,23,10,0.000,8,10,26,1017,-9,17,14
5.181,2990,13,230,1,3000,74,0.000,7,11,4,10,8,277,11,10,0.000,10,10,38,1013,-4,9,14
5.186,2990,13,230,1,3000,73,0.000,9,12,3,9,28,294,18,11,0.800,9,10,44,1010,-4,14,13
4.489,2990,13,230,1,3000,72,0.000,9,12,4,12,21,106,5,12,0.100,12,10,59,1013,4,4,14
4.221,2990,13,230,1,3000,71,0.000,6,10,3,10,58,220,6,10,0.100,10,10,69,1014,5,5,11
1.532,2990,13,230,1,3000,70,0.000,7,11,4,10,43,152,4,10,0.000,10,10,54,1019,1,3,13
4.585,2990,13,230,1,3000,69,0.000,8,12,3,11,25,125,6,11,0.100,11,10,52,1020,1,5,14
4.212,2990,13,230,1,3000,68,0.000,6,10,2,9,36,125,4,9,0.000,9,10,60,1017,2,3,12
4.352,2990,13,230,1,3000,67,0.000,6,9,3,9,8,117,5,9,0.000,9,10,57,1018,1,5,12
4.641,2990,13,230,1,3000,66,0.000,5,9,3,8,26,181,4,8,0.000,8,10,49,1025,-2,3,12
1.346,2990,13,230,1,3000,65,0.000,7,7,2,6,79,110,14,8,8.400,6,9,65,1026,2,11,8
4.325,2990,13,230,1,3000,64,0.000,9,12,3,11,50,234,7,12,1.500,11,10,63,1017,5,5,15
2.971,2990,13,230,1,3000,63,0.000,9,12,3,11,26,241,6,11,0.000,11,10,54,1023,2,5,15
1.784,2990,13,230,1,3000,62,0.000,9,12,3,12,42,237,4,12,0.000,12,10,46,1031,0,3,15
4.529,2990,13,230,1,3000,61,0.000,11,13,3,13,32,111,4,12,0.000,13,10,47,1033,1,3,14
4.628,2990,13,230,1,3000,60,0.000,8,13,4,12,12,204,3,12,0.000,12,10,51,1031,2,3,15
4.624,2990,13,230,1,3000,59,0.000,10,13,3,12,40,126,8,13,0.000,12,10,53,1031,3,6,16
4.057,2990,13,230,1,3000,58,0.000,11,15,4,14,12,127,7,14,0.000,14,10,49,1027,3,6,17
