Efficiency,System Size,Number Of Panels,Panel Power,Number Of Inverters,Inverter Power,date,totalSnow_cm,mintempC,avgtempC,uvIndex,WindChillC,cloudcover,winddirDegree,WindGustKmph,HeatIndexC,precipMM,FeelsLikeC,visibility,humidity,pressure,DewPointC,windspeedKmph,maxtempC
0.584,5000,20,250,20,300,356,0.000,10,12,3,11,97,152,13,11,0.400,11,9,89,1014,10,9,12
1.605,5000,20,250,20,300,355,0.000,7,10,3,8,85,142,14,9,0.900,8,8,82,1015,6,9,11
1.109,5000,20,250,20,300,354,0.000,6,11,4,9,19,148,15,10,0.000,9,10,71,1017,4,9,16
0.473,5000,20,250,20,300,353,0.000,5,10,4,9,6,162,10,9,0.000,9,10,67,1018,3,7,15
1.523,5000,20,250,20,300,352,0.000,4,9,3,8,5,90,4,8,0.000,8,10,58,1023,0,3,14
1.827,5000,20,250,20,300,351,0.000,6,10,4,9,4,58,7,9,0.000,9,10,73,1023,4,5,14
1.100,5000,20,250,20,300,350,0.000,9,11,3,9,75,236,12,10,1.300,9,8,79,1020,7,9,13
1.326,5000,20,250,20,300,349,0.000,5,8,2,5,82,167,17,7,0.200,5,9,75,1022,3,12,9
1.387,5000,20,250,20,300,348,0.000,6,8,2,6,59,245,13,8,1.300,6,7,78,1011,4,10,10
0.592,5000,20,250,20,300,347,0.000,10,12,3,9,100,195,31,12,12.500,9,7,90,1007,10,24,13
1.056,5000,20,250,20,300,346,0.000,9,10,2,8,87,159,18,10,0.800,8,8,81,1015,7,14,10
1.656,5000,20,250,20,300,345,0.000,7,11,3,10,37,207,5,10,0.000,10,10,56,1020,1,3,16
1.687,5000,20,250,20,300,344,0.000,7,11,4,10,29,265,5,10,0.000,10,10,56,1021,1,4,16
1.471,5000,20,250,20,300,343,0.000,9,11,3,9,35,294,17,10,0.100,9,10,63,1015,3,14,12
0.607,5000,20,250,20,300,342,0.000,10,13,3,12,40,251,8,12,0.000,12,10,75,1017,8,5,15
1.227,5000,20,250,20,300,341,0.000,10,13,3,12,31,264,7,13,0.000,12,8,84,1016,10,5,16
0.283,5000,20,250,20,300,340,0.000,10,14,4,13,29,272,7,13,0.000,13,10,68,1018,7,5,16
1.590,5000,20,250,20,300,339,0.000,10,16,5,14,0,314,6,14,0.000,14,10,70,1021,8,4,21
1.338,5000,20,250,20,300,338,0.000,11,16,5,15,1,229,6,15,0.000,15,10,58,1021,6,4,22
0.624,5000,20,250,20,300,337,0.000,12,17,5,16,13,194,5,16,0.000,16,10,46,1019,4,3,24
1.449,5000,20,250,20,300,336,0.000,13,18,5,16,10,214,5,17,0.000,16,10,47,1018,5,3,24
1.738,5000,20,250,20,300,335,0.000,12,18,5,17,9,51,5,17,0.000,17,10,42,1018,3,3,25
1.825,5000,20,250,20,300,334,0.000,11,18,5,16,5,163,6,16,0.000,16,10,56,1019,6,4,24
1.781,5000,20,250,20,300,333,0.000,12,18,5,16,1,185,5,17,0.000,16,10,54,1021,7,4,25
1.786,5000,20,250,20,300,332,0.000,11,17,5,15,2,170,4,16,0.000,15,10,36,1019,0,2,23
1.879,5000,20,250,20,300,331,0.000,10,17,5,15,1,92,4,15,0.000,15,10,33,1017,-1,3,23
1.847,5000,20,250,20,300,330,0.000,10,15,4,14,11,165,5,14,0.000,14,10,41,1022,0,3,20
1.852,5000,20,250,20,300,329,0.000,9,16,5,14,3,38,5,14,0.000,14,10,35,1025,-2,3,22
1.985,5000,20,250,20,300,328,0.000,8,14,4,13,1,190,8,13,0.000,13,10,42,1020,-1,5,20
1.936,5000,20,250,20,300,327,0.000,11,14,3,13,35,302,10,13,0.000,13,10,53,1016,4,7,17
2.015,5000,20,250,20,300,326,0.000,10,16,4,15,16,104,5,15,0.000,15,10,44,1018,2,3,23
