Efficiency,System Size,Number Of Panels,Panel Power,Number Of Inverters,Inverter Power,date,totalSnow_cm,mintempC,avgtempC,uvIndex,WindChillC,cloudcover,winddirDegree,WindGustKmph,HeatIndexC,precipMM,FeelsLikeC,visibility,humidity,pressure,DewPointC,windspeedKmph,maxtempC
3.066,5000,20,250,20,300,172,0.000,18,26,7,25,3,218,7,25,0.000,25,10,59,1011,14,6,30
4.016,5000,20,250,20,300,171,0.000,20,30,8,28,0,243,5,28,0.000,28,10,44,1008,12,5,36
4.474,5000,20,250,20,300,170,0.000,21,31,8,30,0,263,6,30,0.000,30,10,40,1007,12,6,37
3.090,5000,20,250,20,300,169,0.000,22,33,8,31,1,269,6,32,0.000,32,10,34,1007,10,5,39
4.646,5000,20,250,20,300,168,0.000,18,30,8,28,16,305,7,28,0.000,28,10,33,1009,7,5,37
3.957,5000,20,250,20,300,167,0.000,17,27,7,25,3,270,9,25,0.000,25,10,41,1014,8,7,33
5.007,5000,20,250,20,300,166,0.000,17,23,6,21,0,310,11,21,0.000,21,10,53,1018,9,10,27
2.277,5000,20,250,20,300,165,0.000,17,23,5,21,38,311,12,22,0.000,22,10,64,1016,13,10,26
3.832,5000,20,250,20,300,164,0.000,16,23,5,21,35,312,10,22,0.000,22,10,73,1014,15,9,27
5.136,5000,20,250,20,300,163,0.000,14,22,5,20,32,327,11,21,0.000,21,10,69,1016,13,9,27
2.919,5000,20,250,20,300,162,0.000,12,19,5,17,12,323,10,18,0.000,17,10,59,1019,9,8,24
3.707,5000,20,250,20,300,161,0.000,11,18,5,16,7,293,11,16,0.000,16,10,59,1023,7,9,22
4.780,5000,20,250,20,300,160,0.000,11,17,5,15,12,283,13,15,0.000,15,10,60,1020,6,11,19
4.831,5000,20,250,20,300,159,0.000,11,17,5,15,18,283,12,15,0.000,15,10,59,1017,6,10,20
5.207,5000,20,250,20,300,158,0.000,12,17,5,15,6,271,14,15,0.000,15,10,59,1013,7,12,20
4.563,5000,20,250,20,300,157,0.000,14,23,6,22,0,227,9,22,0.000,22,10,55,1009,10,8,29
6.055,5000,20,250,20,300,156,0.000,14,24,6,23,2,251,8,23,0.000,23,10,49,1012,9,7,30
3.486,5000,20,250,20,300,155,0.000,16,21,6,21,5,290,10,22,0.000,21,10,62,1014,12,9,26
2.791,5000,20,250,20,300,154,0.000,18,26,7,25,1,266,8,25,0.000,25,10,49,1011,11,7,30
4.189,5000,20,250,20,300,153,0.000,16,25,6,23,4,266,7,24,0.000,24,10,58,1011,13,6,30
2.908,5000,20,250,20,300,152,0.000,17,26,7,25,7,241,8,25,0.000,25,10,47,1012,10,6,32
5.127,5000,20,250,20,300,151,0.000,18,29,7,27,2,284,7,27,0.000,27,10,39,1011,9,5,35
4.845,5000,20,250,20,300,150,0.000,14,24,6,22,6,263,8,23,0.000,23,10,51,1011,9,7,30
5.135,5000,20,250,20,300,149,0.000,12,18,5,17,20,262,9,18,0.000,17,10,65,1014,9,8,23
4.623,5000,20,250,20,300,148,0.000,12,21,6,19,4,268,8,19,0.000,19,10,60,1016,9,7,26
4.400,5000,20,250,20,300,147,0.000,13,19,5,18,5,274,11,19,0.000,18,10,65,1018,11,9,23
4.889,5000,20,250,20,300,146,0.000,14,22,6,20,1,275,8,20,0.000,20,10,52,1016,8,7,27
4.866,5000,20,250,20,300,145,0.000,12,18,4,17,19,290,10,17,0.000,17,10,61,1017,9,9,23
4.485,5000,20,250,20,300,144,0.000,13,20,6,19,3,267,10,19,0.000,19,10,60,1018,9,8,25
4.872,5000,20,250,20,300,143,0.000,11,20,5,18,2,246,9,19,0.000,18,10,60,1019,8,8,25
5.294,5000,20,250,20,300,142,0.000,10,19,5,16,5,252,10,17,0.000,16,10,56,1016,6,8,23
5.317,5000,20,250,20,300,141,0.000,9,16,5,14,9,261,10,15,0.000,14,10,61,1016,5,8,20
5.349,5000,20,250,20,300,140,0.000,9,13,4,11,7,284,19,12,0.000,11,10,62,1016,4,16,16
5.535,5000,20,250,20,300,139,0.000,11,15,4,13,1,274,15,13,0.000,13,10,59,1017,5,13,17
5.013,5000,20,250,20,300,138,0.000,11,18,5,17,12,256,11,17,0.000,17,10,56,1017,6,9,23
5.931,5000,20,250,20,300,137,0.000,11,19,5,17,21,250,9,18,0.000,17,10,65,1015,10,7,25
4.625,5000,20,250,20,300,136,0.000,11,19,4,17,32,240,8,18,0.000,17,10,67,1013,10,7,24
4.091,5000,20,250,20,300,135,0.000,11,15,4,14,57,211,10,14,0.200,14,10,70,1012,9,8,19
5.112,5000,20,250,20,300,134,0.000,16,21,6,20,2,267,9,21,0.000,20,10,57,1013,10,7,25
