Efficiency,System Size,Number Of Panels,Panel Power,Number Of Inverters,Inverter Power,date,totalSnow_cm,mintempC,avgtempC,uvIndex,WindChillC,cloudcover,winddirDegree,WindGustKmph,HeatIndexC,precipMM,FeelsLikeC,visibility,humidity,pressure,DewPointC,windspeedKmph,maxtempC
2.095,5000,20,250,20,300,266,0.000,13,25,6,22,0,262,7,21,0.000,21,10,38,1012,6,5,33
2.725,5000,20,250,20,300,265,0.000,17,27,7,23,0,265,7,23,0.000,23,10,36,1017,7,5,33
2.998,5000,20,250,20,300,264,0.000,18,29,7,25,0,216,6,24,0.000,24,10,27,1016,4,4,36
1.735,5000,20,250,20,300,263,0.000,13,25,6,21,0,295,7,20,0.000,20,10,43,1014,5,5,33
3.692,5000,20,250,20,300,262,0.000,14,21,5,19,36,269,9,19,0.000,19,10,71,1017,13,7,25
1.574,5000,20,250,20,300,261,0.000,12,22,6,19,3,266,9,19,0.000,19,10,61,1017,11,6,29
3.002,5000,20,250,20,300,260,0.000,12,22,6,19,0,229,8,19,0.000,19,10,54,1013,8,5,30
3.113,5000,20,250,20,300,259,0.000,13,23,6,20,0,231,9,20,0.000,20,10,55,1011,10,6,30
1.830,5000,20,250,20,300,258,0.000,14,26,7,22,0,247,6,22,0.000,22,10,44,1010,8,4,34
1.539,5000,20,250,20,300,257,0.000,14,26,7,22,0,279,6,22,0.000,22,10,48,1010,9,4,35
1.940,5000,20,250,20,300,256,0.000,14,25,6,22,0,287,7,21,0.000,21,10,48,1011,9,5,33
3.016,5000,20,250,20,300,255,0.000,13,25,7,22,0,314,6,21,0.000,21,10,45,1014,7,4,34
1.256,5000,20,250,20,300,254,0.000,14,25,6,21,3,310,8,21,0.000,21,10,52,1015,10,6,33
2.038,5000,20,250,20,300,253,0.000,17,24,6,22,2,300,11,22,0.000,22,10,50,1015,10,8,30
1.230,5000,20,250,20,300,252,0.000,19,30,8,27,6,283,7,26,0.000,26,10,28,1011,6,5,38
1.226,5000,20,250,20,300,251,0.000,19,29,7,26,0,312,10,25,0.000,25,10,33,1011,8,7,35
1.558,5000,20,250,20,300,250,0.000,16,28,7,26,1,323,10,26,0.000,26,10,35,1013,7,7,35
3.080,5000,20,250,20,300,249,0.000,18,30,7,27,3,320,7,27,0.000,27,10,29,1012,5,5,38
4.670,5000,20,250,20,300,248,0.000,16,29,7,27,0,289,6,27,0.000,27,10,26,1012,3,5,37
2.423,5000,20,250,20,300,247,0.000,13,27,7,24,0,265,6,25,0.000,25,10,43,1013,7,5,35
