Efficiency,System Size,Number Of Panels,Panel Power,Number Of Inverters,Inverter Power,date,totalSnow_cm,mintempC,avgtempC,uvIndex,WindChillC,cloudcover,winddirDegree,WindGustKmph,HeatIndexC,precipMM,FeelsLikeC,visibility,humidity,pressure,DewPointC,windspeedKmph,maxtempC
0.890,5000,20,250,20,300,365,0.000,5,8,2,7,23,320,6,7,0.000,7,10,81,1014,4,4,11
0.965,5000,20,250,20,300,364,0.000,5,8,2,6,47,133,7,7,0.000,6,10,81,1012,4,5,12
0.852,5000,20,250,20,300,363,0.000,6,8,2,7,99,104,7,8,0.900,7,8,89,1008,6,6,10
1.026,5000,20,250,20,300,362,0.000,4,7,2,5,60,200,9,6,0.100,5,10,73,1010,2,7,9
1.081,5000,20,250,20,300,361,0.000,7,9,2,7,77,257,16,8,2.300,7,8,80,1013,5,12,10
0.625,5000,20,250,20,300,360,0.000,6,8,2,7,78,201,11,8,0.300,7,10,78,1017,4,8,11
0.973,5000,20,250,20,300,359,0.000,7,10,2,8,75,184,15,9,4.600,8,9,84,1014,6,11,12
1.202,5000,20,250,20,300,358,0.000,8,11,3,10,72,261,12,11,0.900,10,10,79,1011,7,9,12
0.798,5000,20,250,20,300,357,0.000,11,13,3,12,89,221,11,13,2.200,12,8,89,1012,11,7,15
4.343,5000,20,250,20,300,80,0.000,8,14,4,12,2,295,8,13,0.000,12,10,65,1025,6,7,17
3.839,5000,20,250,20,300,79,0.000,8,11,4,10,7,283,11,11,0.000,10,10,66,1025,4,9,14
1.931,5000,20,250,20,300,78,0.000,6,12,3,10,51,293,8,11,0.300,10,8,73,1022,6,6,14
1.731,5000,20,250,20,300,77,0.000,6,11,3,9,88,170,14,10,7.000,9,9,76,1019,7,11,12
1.949,5000,20,250,20,300,76,0.000,7,11,4,10,32,193,5,10,0.000,10,10,66,1019,4,4,15
3.673,5000,20,250,20,300,75,0.000,6,14,4,12,8,237,6,13,0.000,12,10,62,1018,5,5,20
2.705,5000,20,250,20,300,74,0.000,6,9,2,5,52,294,26,8,0.400,5,10,57,1019,0,20,11
1.992,5000,20,250,20,300,73,0.000,6,11,3,10,59,199,9,11,1.400,10,10,70,1022,5,8,15
5.154,5000,20,250,20,300,72,0.000,11,15,4,14,0,276,7,14,0.000,14,10,64,1025,7,6,18
4.005,5000,20,250,20,300,71,0.000,9,14,4,13,1,229,7,13,0.000,13,10,61,1021,5,6,18
2.729,5000,20,250,20,300,70,0.000,6,10,4,8,45,180,10,9,1.000,8,10,68,1018,3,8,14
3.035,5000,20,250,20,300,69,0.000,6,9,2,7,76,214,16,9,7.500,7,9,73,1016,4,11,12
2.079,5000,20,250,20,300,68,0.000,7,10,2,7,62,184,15,9,1.400,7,10,72,1021,4,11,12
4.583,5000,20,250,20,300,67,0.000,8,11,3,10,50,228,8,11,0.200,10,10,66,1023,4,7,14
4.240,5000,20,250,20,300,66,0.000,10,13,4,12,2,310,10,12,0.000,12,10,65,1020,5,9,15
4.242,5000,20,250,20,300,65,0.000,8,12,4,10,29,296,11,11,3.500,10,10,66,1021,4,9,15
3.805,5000,20,250,20,300,64,0.000,11,15,4,13,7,178,12,14,0.000,13,10,65,1020,7,9,18
4.404,5000,20,250,20,300,63,0.000,9,14,4,14,10,193,6,14,0.000,14,10,64,1022,6,6,19
2.628,5000,20,250,20,300,62,0.000,9,15,4,14,35,231,5,15,0.000,14,10,50,1010,3,3,20
3.364,5000,20,250,20,300,61,0.000,9,16,5,16,20,171,5,17,0.000,16,10,42,1019,1,3,22
4.053,5000,20,250,20,300,60,0.000,11,15,3,14,16,172,11,14,0.000,14,10,47,1020,2,9,18
3.916,5000,20,250,20,300,59,0.000,9,15,5,14,3,85,7,14,0.000,14,10,51,1021,2,5,19
4.009,5000,20,250,20,300,58,0.000,8,13,4,12,1,332,12,13,0.000,12,10,56,1019,3,10,17
3.742,5000,20,250,20,300,57,0.000,11,15,4,14,0,318,7,14,0.000,14,10,60,1021,6,6,19
4.020,5000,20,250,20,300,56,0.000,8,14,4,13,6,215,9,13,0.000,13,10,37,1024,-2,7,18
3.460,5000,20,250,20,300,55,0.000,11,16,5,15,2,175,10,15,0.000,15,10,33,1021,-2,8,20
4.023,5000,20,250,20,300,54,0.000,10,16,4,15,33,264,12,15,0.000,15,10,50,1020,3,9,20
3.224,5000,20,250,20,300,53,0.000,10,16,5,15,3,173,7,16,0.000,15,10,59,1025,6,5,21
3.442,5000,20,250,20,300,52,0.000,9,14,4,13,3,303,8,13,0.000,13,10,59,1029,4,6,18
3.092,5000,20,250,20,300,51,0.000,8,12,3,10,25,300,16,11,0.000,10,10,67,1027,5,13,14
1.888,5000,20,250,20,300,50,0.000,11,14,3,13,76,227,8,13,0.300,13,9,65,1026,6,6,16
3.483,5000,20,250,20,300,49,0.000,8,14,4,13,23,227,5,13,0.000,13,10,48,1025,1,4,19
3.407,5000,20,250,20,300,48,0.000,9,13,4,12,5,324,8,13,0.000,12,10,63,1022,4,6,16
2.331,5000,20,250,20,300,47,0.000,9,12,4,10,4,309,15,12,0.000,10,10,68,1021,6,12,15
1.408,5000,20,250,20,300,46,0.000,11,13,3,12,83,214,9,12,0.300,12,10,83,1020,9,8,14
1.245,5000,20,250,20,300,45,0.000,8,11,3,10,42,307,11,11,0.000,10,10,65,1019,4,9,14
3.033,5000,20,250,20,300,44,0.000,10,12,3,10,49,282,16,11,0.200,10,10,77,1017,7,13,14
2.961,5000,20,250,20,300,43,0.000,9,12,4,10,40,290,14,11,2.200,10,10,75,1017,7,11,15
1.261,5000,20,250,20,300,42,0.000,10,12,3,11,70,191,6,12,0.900,11,10,72,1019,7,4,14
2.940,5000,20,250,20,300,41,0.000,9,14,4,13,10,277,5,13,0.000,13,10,66,1019,7,4,18
1.380,5000,20,250,20,300,40,0.000,11,13,3,12,65,308,7,12,0.000,12,10,65,1017,6,6,16
1.777,5000,20,250,20,300,39,0.000,9,13,3,13,43,267,4,13,0.000,13,10,66,1014,6,3,17
2.639,5000,20,250,20,300,38,0.000,9,15,3,14,39,159,5,14,0.000,14,10,58,1015,5,4,18
2.821,5000,20,250,20,300,37,0.000,11,15,5,15,1,129,5,14,0.000,15,10,56,1019,5,4,20
2.795,5000,20,250,20,300,36,0.000,10,15,5,15,0,168,5,15,0.000,15,10,52,1022,4,4,20
2.754,5000,20,250,20,300,35,0.000,8,13,4,12,5,218,8,12,0.000,12,10,62,1024,4,6,17
2.016,5000,20,250,20,300,34,0.000,9,12,3,10,19,305,9,11,0.000,10,10,70,1023,5,7,13
1.646,5000,20,250,20,300,33,0.000,11,13,3,12,95,206,10,12,11.400,12,9,82,1018,9,8,14
2.554,5000,20,250,20,300,32,0.000,9,13,3,12,25,172,16,12,0.000,12,10,57,1017,4,12,16
1.616,5000,20,250,20,300,31,0.000,8,13,4,11,29,165,14,12,0.000,11,10,58,1021,3,9,17
2.145,5000,20,250,20,300,30,0.000,6,11,4,10,30,167,7,10,0.000,10,10,59,1021,2,5,16
1.444,5000,20,250,20,300,29,0.000,7,11,3,9,77,217,7,10,1.900,9,10,74,1013,5,5,14
0.561,5000,20,250,20,300,28,0.000,5,11,3,8,76,181,18,10,10.200,8,9,79,1008,7,13,13
0.449,5000,20,250,20,300,27,0.000,8,11,3,8,83,181,27,11,23.900,8,8,80,1007,7,20,13
0.807,5000,20,250,20,300,26,0.000,6,9,2,7,56,238,13,8,0.400,7,9,63,1013,1,10,11
2.024,5000,20,250,20,300,25,0.000,6,9,3,5,12,314,31,8,0.200,5,10,54,1011,-1,23,11
0.751,5000,20,250,20,300,24,0.000,6,9,2,8,63,197,10,9,6.200,8,9,79,1013,5,7,11
1.639,5000,20,250,20,300,23,0.000,7,11,4,10,34,254,9,10,0.700,10,10,75,1013,6,7,14
0.965,5000,20,250,20,300,22,0.000,9,11,3,10,61,244,10,11,0.800,10,10,67,1015,5,8,13
1.710,5000,20,250,20,300,21,0.000,9,14,4,13,15,217,4,13,0.000,13,10,38,1017,-1,3,18
2.067,5000,20,250,20,300,20,0.000,10,17,5,17,1,156,4,17,0.000,17,10,31,1019,-2,3,22
2.041,5000,20,250,20,300,19,0.000,11,14,4,13,0,46,23,14,0.000,13,10,26,1014,-5,16,17
2.020,5000,20,250,20,300,18,0.000,13,16,5,16,3,232,16,16,0.000,16,10,43,1012,2,11,20
1.928,5000,20,250,20,300,17,0.000,14,18,5,17,3,313,8,18,0.000,17,10,56,1018,8,5,23
1.862,5000,20,250,20,300,16,0.000,12,16,5,15,5,308,8,16,0.000,15,10,61,1020,7,5,20
1.826,5000,20,250,20,300,15,0.000,13,17,4,17,20,253,5,18,0.000,17,10,63,1024,9,3,22
1.905,5000,20,250,20,300,14,0.000,11,18,5,16,4,124,6,17,0.000,16,10,77,1026,12,5,23
1.798,5000,20,250,20,300,13,0.000,10,15,5,14,9,274,4,14,0.000,14,10,77,1027,10,3,20
1.258,5000,20,250,20,300,12,0.000,10,13,3,12,54,195,4,12,0.000,12,10,64,1025,6,2,15
2.005,5000,20,250,20,300,11,0.000,11,15,5,15,1,221,4,15,0.000,15,10,68,1025,8,3,19
1.370,5000,20,250,20,300,10,0.000,10,14,4,13,6,239,4,13,0.000,13,10,56,1025,5,3,19
1.720,5000,20,250,20,300,9,0.000,9,13,4,12,7,220,7,12,0.000,12,10,67,1024,5,5,16
1.503,5000,20,250,20,300,8,0.000,11,13,3,13,64,265,8,13,0.200,13,10,67,1024,7,5,16
1.437,5000,20,250,20,300,7,0.000,9,13,3,12,40,86,4,12,0.000,12,10,69,1022,6,3,16
