System Id,System Name,System Size,Postcode,Number Of Panels,Panel Power,Panel Brand,Number Of Inverters,Inverter Power,Inverter Brand,Orientation,Array Tilt,Shade,Install Date,Latitude,Longitude,Status Interval
76428,3023,10500,95762,30,350,LG350Q1C-A5,30,290,Enphase IQ7PLUS,N,18.0,No,20200601,38.684324,-121.06879,5
66254,3dslice,10950,95120,30,365,LG,30,440,Enphase,SE,18.0,Low,20190401,37.213624,-121.85671,5
70274,4762 8250kW Solar,8250,95963,30,275,Talesun TP660P,1,7700,SMA Sunny Boy 7.7,S,10.0,No,20190920,39.760968,-122.218,5
70062,4762 (test),8250,95963,30,275,Talesun TP660P,1,7700,SMA Sunny Boy 7.7,S,10.0,No,20190913,39.760968,-122.218,5
43976,Alpmans,8320,95222,30,280,Suniva OPT280-60-4-1B0,26,260,Enecsys 240-60-MM (CM-240-EC),SE,8.0,Low,20160219,38.087437,-120.58072,5
47983,AuburnSun,11340,95602,36,315,LG,1,10000,SolarEdge,SW,15.0,No,20160929,38.954847,-121.180598,5
71172,Buchser1,8190,95125,26,315,Panasonic SC-B2,1,7600,Solaredge,SE,18.0,No,20191101,37.295092,-121.89649,5
52031,College Park,8000,95616,25,320,LG 320 Neon2 LG320N1C-G4,1,7600,SolarEdge SE7600A-US,E,35.0,High,20170503,38.549256,-121.73655,5
68665,Cupertino Solar,8450,95014,26,325,Panasonic HIT 325 All Black,1,7600,SolarEdge SE7600H with P400,S,18.0,Low,20190716,37.322926,-122.023157,5
68864,de Leon Oak Meadow PW,11220,95014,132,85,BP-585,3,3600,Outback,SE,1.0,No,20190721,37.317909,-122.04779,5
55305,EDH-home-8125watts,8125,95762,25,325,Panasonic,1,10000,SolarEdge,SW,1.0,No,20170929,38.684324,-121.06879,5
14298,Goat Solar,10000,95682,40,250,Suniva OPT250-60-4-100,40,215,Enphase M215-60-2LL-S2x,E,23.0,Low,20121122,38.641158,-120.97109,5
40888,Gold Country Auburn CA,13440,95602,48,280,SolarWorld SW280,48,240,Enphase M250,S,17.0,Low,20150910,39.001104,-121.09171,15
19412,GoSolar,8750,95121,35,250,Canadian Solar,35,215,Enphase M215,SW,30.0,No,20130510,37.305714,-121.81145,5
41830,Horn Roseville CA,8320,95747,32,260,Canadian Solar/CS6P-260P,1,8200,SolarEdge/SE7600A-US,S,30.0,No,20151110,38.768829,-121.33629,5
25877,KB - Carmichael,8250,95608,33,250,ET Solar ET-P6660250WB,33,7095,Enphase 215,S,15.0,Medium,20131230,38.628371,-121.32702,5
57578,Little Orchard Solar,11520,95127,36,320,LG320N1K-A5,1,7625,SE7600A-US,SE,18.0,Low,20180220,37.369473,-121.82077,15
46423,Live Oak,9920,95945,31,320,LG Neon2 LG320N1C-G4,1,10000,SolarEdge SE10000,SW,34.0,High,20160601,39.19298,-121.003851,5
46787,Modesto (Village One),11400,95355,40,285,Suniva OPT285-60-4-1B0,1,11400,SolarEdge SE11400A-US (240V),S,21.0,No,20160701,37.676995,-120.938429,5
28621,Myers PV System,8320,95963,32,260,Mitsubishi MLE260HD,2,7500,SMA SB5000-US SB2500HF-US,S,20.0,No,20130424,39.745098,-122.184269,5
4548,Palo Vista,8280,95014,36,230,Sunpower SPR-230E-WHT-D,36,6761,Enphase M210-84-240,S,35.0,Low,20111108,37.318592,-122.066136,5
41870,pamtoga,12075,95070,35,345,Sunpower,1,11000,SolarEdge,SE,8.0,Medium,20151113,37.270543,-122.02305,5
69674,PaseoOlivos,8450,95070,26,325,Hanwha Q-Cell,1,7600,SolarEdge,W,20.0,Low,20190823,37.270543,-122.02305,5
76494,Peterbaker39,12000,95367,32,375,Trina TallMax,1,11400,SolarEdge 11400,W,32.0,Low,20200520,37.731272,-120.94365,5
54140,Silver Creek,9075,95138,33,275,Boviet BVM6610M,1,7600,SolarEdge SE7600H,S,14.0,Low,20171012,37.289587,-121.781679,5
23911,Solar Arbor,8100,95070,30,270,Suniva,2,7200,Power One Aurora 3.6,S,8.5,No,20130930,37.280241,-122.037668,5
59864,Toby_Drive_EDH,8040,95762,24,335,LG LG335N1C-A5,1,7600,SolarEdge SE7600H,SW,21.0,Low,20180604,38.684324,-121.06879,15
65913,Will's 1xPW2 & Solar Roof v2,13320,95118,444,30,(561x 23.75W Tesla SR24T3-2),2,5200,2x Delta Solivia 5.2,EW,18.0,Low,20190319,37.245926,-121.886879,5
