date,sunrise,sunset,moonrise,moonset,moon_phase,moon_illumination,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirDegree,winddir16Point,weatherCode,value,value,precipMM,precipInches,humidity,visibility,visibilityMiles,pressure,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,chanceofrain,chanceofremdry,chanceofwindy,chanceofovercast,chanceofsunshine,chanceoffrost,chanceofhightemp,chanceoffog,chanceofsnow,chanceofthunder,uvIndex
2020-11-28,08:17 AM,04:14 PM,03:39 PM,05:51 AM,Full Moon,90,6,42,3,38,4,40,0.0,8.0,1,0,5,40,9,15,113,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,92,10,6,1022,31,34,5,40,4,38,1,34,17,27,1,34,0,82,0,37,83,0,0,0,0,0,1
2020-11-28,08:17 AM,04:14 PM,03:39 PM,05:51 AM,Full Moon,90,6,42,3,38,4,40,0.0,8.0,1,100,5,40,9,15,112,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,93,10,6,1022,31,34,5,40,4,38,1,34,17,27,1,34,0,83,0,40,82,0,0,0,0,0,1
2020-11-28,08:17 AM,04:14 PM,03:39 PM,05:51 AM,Full Moon,90,6,42,3,38,4,40,0.0,8.0,1,200,4,40,9,15,112,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,92,10,6,1022,31,32,4,40,3,38,1,34,17,27,1,34,0,86,0,37,81,0,0,0,0,0,1
2020-11-28,08:17 AM,04:14 PM,03:39 PM,05:51 AM,Full Moon,90,6,42,3,38,4,40,0.0,8.0,1,300,4,40,10,15,111,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,92,10,6,1022,31,30,4,40,3,37,1,33,17,28,1,33,0,89,0,34,81,0,0,0,0,0,1
2020-11-28,08:17 AM,04:14 PM,03:39 PM,05:51 AM,Full Moon,90,6,42,3,38,4,40,0.0,8.0,1,400,4,39,10,15,111,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,92,10,6,1021,31,28,4,39,3,37,0,33,17,28,0,33,0,92,0,31,80,0,0,0,0,0,1
2020-11-28,08:17 AM,04:14 PM,03:39 PM,05:51 AM,Full Moon,90,6,42,3,38,4,40,0.0,8.0,1,500,4,39,10,16,108,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,92,10,6,1022,31,25,4,39,3,37,0,33,17,28,0,33,0,92,0,31,80,0,0,0,0,0,1
2020-11-28,08:17 AM,04:14 PM,03:39 PM,05:51 AM,Full Moon,90,6,42,3,38,4,40,0.0,8.0,1,600,4,39,10,16,106,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,91,10,6,1022,31,23,4,39,3,37,0,32,17,28,0,32,0,92,0,31,80,0,0,0,0,0,1
2020-11-28,08:17 AM,04:14 PM,03:39 PM,05:51 AM,Full Moon,90,6,42,3,38,4,40,0.0,8.0,1,700,4,39,10,16,103,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,91,10,6,1022,31,20,4,39,2,36,0,32,17,28,0,32,0,92,0,31,80,0,0,0,0,0,1
2020-11-28,08:17 AM,04:14 PM,03:39 PM,05:51 AM,Full Moon,90,6,42,3,38,4,40,0.0,8.0,1,800,4,40,11,17,106,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,91,10,6,1023,31,32,4,40,3,37,0,33,17,27,0,33,0,92,0,32,78,0,0,0,0,0,1
2020-11-28,08:17 AM,04:14 PM,03:39 PM,05:51 AM,Full Moon,90,6,42,3,38,4,40,0.0,8.0,1,900,5,40,11,18,109,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,92,10,6,1023,31,44,5,40,3,38,1,33,17,27,1,33,0,93,0,32,76,0,0,0,0,0,2
2020-11-28,08:17 AM,04:14 PM,03:39 PM,05:51 AM,Full Moon,90,6,42,3,38,4,40,0.0,8.0,1,1000,5,41,12,19,112,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,92,10,6,1023,31,57,5,41,4,39,1,34,16,26,1,34,0,93,0,33,74,0,0,0,0,0,2
2020-11-28,08:17 AM,04:14 PM,03:39 PM,05:51 AM,Full Moon,90,6,42,3,38,4,40,0.0,8.0,1,1100,5,41,11,18,111,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,90,10,6,1023,31,48,5,41,4,39,2,35,15,24,2,35,0,93,0,36,78,0,0,0,0,0,3
2020-11-28,08:17 AM,04:14 PM,03:39 PM,05:51 AM,Full Moon,90,6,42,3,38,4,40,0.0,8.0,1,1200,6,42,10,17,110,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,88,10,6,1023,31,38,6,42,4,39,2,36,14,22,2,36,0,92,0,39,81,0,0,0,0,0,3
2020-11-28,08:17 AM,04:14 PM,03:39 PM,05:51 AM,Full Moon,90,6,42,3,38,4,40,0.0,8.0,1,1300,6,42,10,15,108,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,86,10,6,1023,31,29,6,42,4,39,3,37,13,20,3,37,0,92,0,42,85,0,0,0,0,0,3
2020-11-28,08:17 AM,04:14 PM,03:39 PM,05:51 AM,Full Moon,90,6,42,3,38,4,40,0.0,8.0,1,1400,6,42,10,16,104,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,86,10,6,1023,31,24,6,42,3,38,2,36,14,22,2,36,0,90,0,40,80,0,0,0,0,0,3
2020-11-28,08:17 AM,04:14 PM,03:39 PM,05:51 AM,Full Moon,90,6,42,3,38,4,40,0.0,8.0,1,1500,5,41,10,17,100,E,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,85,10,6,1024,31,18,5,41,3,37,2,35,15,24,2,35,0,87,0,39,76,0,0,0,0,0,3
2020-11-28,08:17 AM,04:14 PM,03:39 PM,05:51 AM,Full Moon,90,6,42,3,38,4,40,0.0,8.0,1,1600,5,41,11,17,95,E,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png,Partly cloudy,0.0,0.0,84,10,6,1024,31,12,5,41,2,36,1,34,17,27,1,34,0,85,0,37,71,0,0,0,0,0,2
2020-11-28,08:17 AM,04:14 PM,03:39 PM,05:51 AM,Full Moon,90,6,42,3,38,4,40,0.0,8.0,1,1700,4,40,11,17,97,E,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,85,10,6,1024,31,12,4,40,2,36,1,33,17,28,1,33,0,86,0,39,72,0,0,0,0,0,1
2020-11-28,08:17 AM,04:14 PM,03:39 PM,05:51 AM,Full Moon,90,6,42,3,38,4,40,0.0,8.0,1,1800,4,39,11,18,99,E,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,85,10,6,1025,31,13,4,39,2,35,0,32,18,30,0,32,0,87,0,42,73,0,0,0,0,0,1
2020-11-28,08:17 AM,04:14 PM,03:39 PM,05:51 AM,Full Moon,90,6,42,3,38,4,40,0.0,8.0,1,1900,4,38,11,18,100,E,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,85,10,6,1025,31,13,4,38,1,35,-1,31,19,31,-1,31,0,88,0,44,74,0,0,0,0,0,1
2020-11-28,08:17 AM,04:14 PM,03:39 PM,05:51 AM,Full Moon,90,6,42,3,38,4,40,0.0,8.0,1,2000,3,38,11,18,102,ESE,116,http://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Partly cloudy,0.0,0.0,86,10,6,1025,31,13,3,38,1,35,-1,31,19,30,-1,31,0,86,0,44,77,0,0,0,0,0,1
