Efficiency,System Size,Number Of Panels,Panel Power,Number Of Inverters,Inverter Power,date,totalSnow_cm,mintempC,avgtempC,uvIndex,WindChillC,cloudcover,winddirDegree,WindGustKmph,HeatIndexC,precipMM,FeelsLikeC,visibility,humidity,pressure,DewPointC,windspeedKmph,maxtempC
4.208,9920,31,320,1,10000,172,0.000,18,29,7,26,4,236,12,26,0.000,26,10,35,1013,8,8,32
4.282,9920,31,320,1,10000,171,0.000,16,29,7,26,2,253,13,26,0.000,26,10,29,1012,4,8,32
4.380,9920,31,320,1,10000,170,0.000,14,27,7,24,15,268,14,24,0.000,24,10,26,1014,1,9,30
4.449,9920,31,320,1,10000,169,0.000,11,25,7,22,0,281,18,22,0.000,22,10,29,1015,1,11,29
4.133,9920,31,320,1,10000,168,0.000,10,20,5,17,4,237,13,18,0.000,17,10,54,1014,6,8,23
3.476,9920,31,320,1,10000,167,0.000,14,22,5,19,19,218,16,20,0.000,20,10,44,1014,6,11,25
4.454,9920,31,320,1,10000,166,0.000,10,21,6,18,6,274,12,19,0.000,18,10,49,1015,6,8,24
3.728,9920,31,320,1,10000,165,0.000,9,17,5,13,34,220,14,14,0.100,13,10,64,1016,7,10,20
3.689,9920,31,320,1,10000,164,0.000,14,21,5,18,33,212,18,19,3.000,18,10,57,1014,8,13,23
4.404,9920,31,320,1,10000,163,0.000,17,28,6,25,34,223,14,25,0.000,25,10,35,1014,6,9,31
4.309,9920,31,320,1,10000,162,0.000,16,27,6,24,22,261,13,25,0.000,25,10,37,1016,7,8,30
4.374,9920,31,320,1,10000,161,0.000,11,23,6,20,11,274,13,21,0.000,21,10,36,1020,3,8,26
4.539,9920,31,320,1,10000,160,0.000,6,19,5,15,3,289,15,17,0.000,15,10,41,1021,0,10,23
4.016,9920,31,320,1,10000,159,0.000,7,15,5,12,31,274,13,12,0.300,12,10,52,1018,2,9,18
4.198,9920,31,320,1,10000,158,0.000,9,17,5,13,34,209,18,14,0.300,13,10,58,1011,5,14,19
4.181,9920,31,320,1,10000,157,0.000,18,24,6,22,3,198,18,22,0.000,22,10,44,1005,7,12,26
4.308,9920,31,320,1,10000,156,0.000,18,29,7,26,7,223,15,26,0.000,26,10,34,1008,7,9,32
4.268,9920,31,320,1,10000,155,0.000,18,29,7,26,6,254,14,26,0.000,26,10,39,1014,9,8,32
4.272,9920,31,320,1,10000,154,0.000,15,27,7,24,6,265,12,25,0.000,25,10,49,1016,11,7,30
4.071,9920,31,320,1,10000,153,0.000,13,22,6,19,24,266,10,19,0.000,19,10,64,1015,11,7,24
3.275,9920,31,320,1,10000,152,0.000,11,20,6,17,35,249,10,18,0.000,17,10,73,1014,12,6,22
3.030,9920,31,320,1,10000,151,0.000,12,15,3,14,84,122,9,14,35.300,14,8,88,1012,12,5,17
