Efficiency,System Size,Number Of Panels,Panel Power,Number Of Inverters,Inverter Power,date,totalSnow_cm,mintempC,avgtempC,uvIndex,WindChillC,cloudcover,winddirDegree,WindGustKmph,HeatIndexC,precipMM,FeelsLikeC,visibility,humidity,pressure,DewPointC,windspeedKmph,maxtempC
3.295,9920,31,320,1,10000,266,0.000,17,26,7,24,16,214,15,24,0.000,24,10,29,1016,3,10,30
3.143,9920,31,320,1,10000,265,0.000,17,27,7,24,11,222,17,24,0.000,24,10,29,1013,3,10,31
3.245,9920,31,320,1,10000,264,0.000,15,27,7,24,1,242,14,24,0.000,24,10,30,1013,3,8,31
3.302,9920,31,320,1,10000,263,0.000,13,24,6,21,1,270,14,22,0.000,22,10,44,1015,6,9,28
2.884,9920,31,320,1,10000,262,0.000,14,22,5,20,27,207,14,21,0.000,21,10,48,1015,7,9,25
3.023,9920,31,320,1,10000,261,0.000,16,28,7,24,0,220,16,24,0.000,24,10,27,1015,1,10,31
2.911,9920,31,320,1,10000,260,0.000,17,28,7,25,0,238,15,25,0.000,25,10,25,1017,1,9,32
3.105,9920,31,320,1,10000,259,0.000,18,30,7,26,0,238,15,27,0.000,27,10,26,1018,3,9,33
3.189,9920,31,320,1,10000,258,0.000,18,29,7,26,1,227,14,26,0.000,26,10,24,1015,1,9,32
2.454,9920,31,320,1,10000,257,0.000,18,31,8,27,0,233,15,27,0.000,27,10,15,1013,-4,9,34
2.860,9920,31,320,1,10000,256,0.000,17,30,7,26,0,252,16,26,0.000,26,10,19,1014,-2,9,34
3.168,9920,31,320,1,10000,255,0.000,17,29,7,25,0,244,14,26,0.000,26,10,26,1016,2,9,32
2.242,9920,31,320,1,10000,254,0.000,17,28,7,25,0,237,15,24,0.000,24,10,18,1016,-4,9,32
2.493,9920,31,320,1,10000,251,0.000,25,37,9,34,0,263,16,35,0.000,35,10,16,1011,2,10,41
2.109,9920,31,320,1,10000,250,0.000,26,39,9,36,0,258,18,36,0.000,36,10,16,1016,3,11,43
3.426,9920,31,320,1,10000,249,0.000,23,36,9,32,1,255,14,32,0.000,32,10,19,1016,4,9,39
3.324,9920,31,320,1,10000,248,0.000,21,33,8,29,0,260,12,30,0.000,30,10,30,1015,7,8,36
3.318,9920,31,320,1,10000,247,0.000,20,31,8,28,0,251,11,28,0.000,28,10,36,1015,9,7,35
3.474,9920,31,320,1,10000,246,0.000,19,30,8,27,0,234,11,28,0.000,28,10,31,1016,7,7,34
3.599,9920,31,320,1,10000,245,0.000,19,31,8,28,0,242,12,28,0.000,28,10,30,1013,6,8,35
3.214,9920,31,320,1,10000,244,0.000,19,31,8,27,0,257,12,27,0.000,27,10,28,1010,5,8,35
3.257,9920,31,320,1,10000,243,0.000,19,31,8,28,0,254,13,28,0.000,28,10,30,1010,6,8,35
3.512,9920,31,320,1,10000,242,0.000,20,31,8,28,0,229,14,29,0.000,29,10,33,1010,8,9,34
3.343,9920,31,320,1,10000,231,0.000,24,36,9,32,13,253,12,33,0.000,33,10,29,1015,10,8,39
3.564,9920,31,320,1,10000,230,0.000,25,36,8,34,43,289,15,34,0.700,34,10,28,1015,10,9,40
3.469,9920,31,320,1,10000,229,0.000,26,36,9,34,32,263,13,34,0.100,34,10,25,1014,9,8,39
3.654,9920,31,320,1,10000,228,0.000,24,37,9,34,6,226,14,34,0.000,34,10,25,1013,9,9,40
3.638,9920,31,320,1,10000,227,0.000,22,36,9,33,15,281,15,33,0.000,33,10,24,1014,7,9,40
3.828,9920,31,320,1,10000,226,0.000,20,33,8,29,3,230,15,29,0.000,29,10,24,1014,4,10,36
