Efficiency,System Size,Number Of Panels,Panel Power,Number Of Inverters,Inverter Power,date,totalSnow_cm,mintempC,avgtempC,uvIndex,WindChillC,cloudcover,winddirDegree,WindGustKmph,HeatIndexC,precipMM,FeelsLikeC,visibility,humidity,pressure,DewPointC,windspeedKmph,maxtempC
2.813,9920,31,320,1,10000,80,0.000,2,10,2,5,45,269,14,7,2.200,5,10,76,1023,3,8,13
1.491,9920,31,320,1,10000,79,0.000,0,8,2,4,40,251,12,6,0.900,4,10,75,1018,1,7,11
0.153,9920,31,320,1,10000,75,19.000,2,4,1,1,97,184,14,3,65.300,1,5,97,1014,3,10,5
0.275,9920,31,320,1,10000,74,0.000,-2,5,1,2,98,205,13,4,44.800,2,8,96,1012,4,9,5
3.227,9920,31,320,1,10000,73,0.000,8,14,3,11,35,191,20,12,1.400,11,10,61,1006,3,14,17
3.771,9920,31,320,1,10000,72,0.000,8,17,5,13,7,273,15,14,0.000,13,10,56,1012,5,8,21
3.655,9920,31,320,1,10000,71,0.000,7,14,4,11,12,264,13,12,0.000,11,10,71,1017,6,8,17
3.800,9920,31,320,1,10000,70,0.000,7,15,5,12,15,297,15,14,0.000,12,10,61,1018,4,9,19
3.094,9920,31,320,1,10000,69,0.000,6,12,4,8,23,217,13,10,0.000,8,10,74,1019,4,8,14
1.502,9920,31,320,1,10000,68,0.000,5,8,2,6,81,201,7,7,3.300,6,9,90,1015,5,5,10
0.404,9920,31,320,1,10000,67,0.000,6,7,2,5,91,176,11,7,14.800,5,8,92,1012,5,8,7
3.482,9920,31,320,1,10000,66,0.000,8,13,4,11,18,202,12,11,0.000,11,10,73,1014,6,8,16
3.677,9920,31,320,1,10000,65,0.000,10,17,5,13,6,205,14,14,0.000,13,10,56,1019,5,8,20
3.681,9920,31,320,1,10000,64,0.000,9,17,5,15,1,234,13,16,0.000,15,10,53,1019,4,7,20
3.648,9920,31,320,1,10000,63,0.000,7,15,4,12,2,268,15,13,0.000,12,10,56,1019,4,8,19
3.885,9920,31,320,1,10000,62,0.000,3,12,4,9,2,115,22,11,0.000,9,10,38,1020,-5,12,17
2.499,9920,31,320,1,10000,61,0.000,3,7,2,4,58,120,11,6,13.900,4,10,69,1017,0,7,9
3.081,9920,31,320,1,10000,60,0.000,7,12,3,10,62,216,14,10,1.900,10,10,67,1015,4,9,14
3.136,9920,31,320,1,10000,59,0.000,10,16,4,14,70,204,13,15,0.000,14,10,50,1021,3,7,20
