System Size,Number Of Panels,Panel Power,Number Of Inverters,Inverter Power,date,totalSnow_cm,mintempC,avgtempC,uvIndex,WindChillC,cloudcover,winddirDegree,WindGustKmph,HeatIndexC,precipMM,FeelsLikeC,visibility,humidity,pressure,DewPointC,windspeedKmph,maxtempC
8750,35,250,35,215,333,0.000,5,15,5,13,0,325,6,14,0.000,13,10,39,1023,-2,4,21
8750,35,250,35,215,332,0.000,4,14,4,11,3,260,5,11,0.000,11,10,32,1023,-6,3,20
8750,35,250,35,215,331,0.000,4,12,4,10,0,246,12,11,0.000,10,10,46,1022,-3,8,16
8750,35,250,35,215,330,0.000,5,11,4,8,16,307,12,9,0.000,8,8,74,1022,4,8,14
8750,35,250,35,215,329,0.000,6,15,5,13,0,315,5,14,0.000,13,10,63,1019,4,4,20
8750,35,250,35,215,328,0.000,5,13,3,10,44,315,9,11,0.100,10,9,80,1016,6,6,16
8750,35,250,35,215,327,0.000,6,15,4,12,7,305,8,13,0.000,12,10,47,1017,-1,5,20
8750,35,250,35,215,326,0.000,5,13,3,10,51,338,8,11,0.000,10,10,41,1021,-3,5,18
8750,35,250,35,215,325,0.000,7,14,4,12,23,333,9,13,0.000,12,10,42,1023,-2,6,18
8750,35,250,35,215,324,0.000,6,13,4,11,28,322,11,12,0.000,11,10,70,1024,4,7,17
8750,35,250,35,215,323,0.000,9,15,3,13,68,229,11,15,2.400,13,10,84,1018,10,7,17
8750,35,250,35,215,322,0.000,8,15,3,11,74,176,15,12,7.700,11,9,68,1013,7,10,20
8750,35,250,35,215,321,0.000,9,22,6,18,6,195,8,19,0.000,18,10,51,1016,6,4,28
8750,35,250,35,215,320,0.000,5,16,5,13,5,319,8,14,0.000,13,10,53,1024,2,6,20
8750,35,250,35,215,319,0.000,5,14,4,12,5,312,7,13,0.000,12,10,69,1024,4,5,18
8750,35,250,35,215,318,0.000,4,13,3,10,52,201,7,10,1.000,10,8,64,1021,3,5,18
8750,35,250,35,215,317,0.000,4,15,4,11,4,304,7,12,0.000,11,10,60,1018,2,4,21
8750,35,250,35,215,316,0.000,4,13,3,10,35,322,5,11,0.000,10,10,71,1019,4,3,17
8750,35,250,35,215,315,0.000,2,12,4,9,22,310,5,10,0.000,9,10,46,1023,-4,4,16
