Efficiency,System Size,Number Of Panels,Panel Power,Number Of Inverters,Inverter Power,date,totalSnow_cm,mintempC,avgtempC,uvIndex,WindChillC,cloudcover,winddirDegree,WindGustKmph,HeatIndexC,precipMM,FeelsLikeC,visibility,humidity,pressure,DewPointC,windspeedKmph,maxtempC
2.615,8580,26,330,1,50,100,0.000,18,21,5,20,55,143,12,21,1.000,20,10,80,1020,16,8,23
2.950,8580,26,330,1,50,99,0.000,20,21,5,21,65,63,30,22,2.800,21,10,75,1022,16,20,23
2.193,8580,26,330,1,50,98,0.000,19,20,5,20,64,99,37,20,2.500,20,10,76,1023,15,24,21
0.620,8580,26,330,1,50,97,0.000,18,19,4,19,96,106,34,19,30.300,19,8,87,1019,17,21,20
0.527,8580,26,330,1,50,96,0.000,19,20,5,20,67,119,15,20,3.600,20,10,80,1017,17,10,22
4.495,8580,26,330,1,50,95,0.000,17,21,6,20,17,175,18,21,0.200,20,10,68,1015,14,12,24
4.662,8580,26,330,1,50,94,0.000,16,21,6,20,10,228,21,21,0.000,20,10,58,1013,11,13,25
4.164,8580,26,330,1,50,93,0.000,14,21,6,19,10,300,27,20,0.000,19,10,59,1012,11,19,27
2.931,8580,26,330,1,50,92,0.000,16,18,4,17,78,227,42,17,1.500,17,10,73,1014,12,32,19
2.368,8580,26,330,1,50,91,0.000,18,19,4,18,93,177,57,18,1.000,18,10,66,1018,12,44,19
1.463,8580,26,330,1,50,90,0.000,18,19,4,19,95,185,55,19,1.100,19,10,71,1016,14,41,20
3.320,8580,26,330,1,50,89,0.000,19,20,5,20,88,191,33,20,2.100,20,10,87,1010,18,24,21
1.385,8580,26,330,1,50,88,0.000,20,21,5,21,67,158,14,22,1.100,21,10,83,1014,18,10,22
2.917,8580,26,330,1,50,87,0.000,19,20,5,20,85,181,20,20,1.800,20,10,85,1015,17,14,21
1.470,8580,26,330,1,50,86,0.000,20,21,5,21,72,78,25,22,2.800,21,10,76,1019,16,16,22
1.583,8580,26,330,1,50,85,0.000,19,22,5,21,65,105,33,22,2.600,21,10,72,1020,16,22,23
2.695,8580,26,330,1,50,84,0.000,19,21,5,20,82,121,24,21,2.900,20,10,80,1017,17,16,22
0.847,8580,26,330,1,50,83,0.000,20,20,5,20,99,106,22,20,1.100,20,10,79,1014,17,15,21
2.943,8580,26,330,1,50,82,0.000,21,22,5,22,60,209,31,24,0.900,24,10,80,1010,18,22,23
4.911,8580,26,330,1,50,81,0.000,17,23,6,22,13,174,18,22,0.000,22,10,73,1011,16,13,27
3.547,8580,26,330,1,50,80,0.000,19,21,5,21,22,158,18,22,0.000,21,10,71,1015,15,13,23
5.032,8580,26,330,1,50,79,0.000,16,20,6,20,11,191,17,20,0.000,20,10,69,1018,14,12,23
1.550,8580,26,330,1,50,78,0.000,19,21,5,21,78,160,34,22,4.000,21,10,75,1019,16,23,22
4.509,8580,26,330,1,50,77,0.000,20,23,5,22,35,214,15,24,0.200,24,10,78,1016,18,11,25
3.717,8580,26,330,1,50,76,0.000,19,22,5,22,36,159,9,23,0.000,23,10,76,1016,17,7,24
2.598,8580,26,330,1,50,75,0.000,20,22,5,21,64,123,14,22,1.700,21,10,73,1020,16,10,23
4.891,8580,26,330,1,50,74,0.000,20,23,5,22,48,115,19,23,0.600,23,10,67,1021,15,14,25
2.927,8580,26,330,1,50,73,0.000,18,22,6,21,27,154,15,23,0.000,23,10,71,1022,15,10,25
2.836,8580,26,330,1,50,72,0.000,19,21,5,21,53,53,13,22,0.600,21,10,70,1023,15,9,23
4.298,8580,26,330,1,50,71,0.000,18,21,5,20,42,89,14,21,0.000,20,10,66,1022,14,10,23
5.060,8580,26,330,1,50,70,0.000,19,20,5,20,72,140,16,20,0.200,20,10,66,1019,13,12,21
4.846,8580,26,330,1,50,69,0.000,16,20,5,19,48,191,35,20,0.000,19,10,66,1019,13,27,21
3.230,8580,26,330,1,50,68,0.000,19,20,5,20,82,201,51,20,0.500,20,10,73,1013,15,40,22
0.494,8580,26,330,1,50,67,0.000,19,22,5,22,95,179,54,23,10.800,22,10,91,1006,20,36,22
1.551,8580,26,330,1,50,66,0.000,23,24,5,23,75,163,38,25,6.600,25,10,86,1009,21,23,25
2.076,8580,26,330,1,50,65,0.000,19,22,5,22,72,195,41,23,11.000,23,8,88,1005,20,26,24
3.469,8580,26,330,1,50,64,0.000,21,24,6,24,31,145,18,26,0.100,26,10,84,1007,21,13,27
3.717,8580,26,330,1,50,63,0.000,22,25,5,24,57,71,21,26,1.900,26,10,83,1011,21,14,27
2.480,8580,26,330,1,50,62,0.000,20,24,5,23,69,178,28,24,1.500,24,10,79,1006,19,21,26
0.650,8580,26,330,1,50,61,0.000,20,21,5,21,98,160,36,24,14.500,21,9,91,1007,20,21,22
2.353,8580,26,330,1,50,60,0.000,21,23,5,23,63,95,32,25,2.100,25,10,78,1014,19,21,24
3.708,8580,26,330,1,50,151,0.000,11,16,5,14,4,202,14,15,0.100,14,10,66,1025,8,10,19
1.664,8580,26,330,1,50,150,0.000,13,14,3,11,93,210,37,14,5.500,11,10,69,1027,8,27,15
2.218,8580,26,330,1,50,149,0.000,12,13,3,10,84,212,42,13,3.500,10,10,65,1028,6,32,14
3.990,8580,26,330,1,50,148,0.000,9,13,3,11,42,216,43,13,1.300,11,10,58,1025,5,32,15
3.925,8580,26,330,1,50,147,0.000,11,14,4,12,17,239,26,14,0.000,12,10,54,1023,5,18,17
3.878,8580,26,330,1,50,146,0.000,15,18,5,16,16,286,33,17,0.000,16,10,59,1018,8,21,20
3.425,8580,26,330,1,50,145,0.000,14,17,4,17,40,208,22,17,0.700,17,10,74,1025,12,15,19
1.277,8580,26,330,1,50,144,0.000,16,18,4,17,70,126,12,17,5.900,17,10,76,1028,13,9,19
2.549,8580,26,330,1,50,143,0.000,12,17,5,15,0,227,11,16,0.000,15,10,74,1027,12,8,20
3.458,8580,26,330,1,50,142,0.000,14,17,5,16,15,168,13,16,0.000,16,10,68,1027,10,9,18
1.041,8580,26,330,1,50,141,0.000,14,17,4,16,74,188,29,16,2.400,16,10,68,1029,10,19,18
3.252,8580,26,330,1,50,140,0.000,10,15,4,14,45,268,18,14,0.000,14,10,56,1026,5,11,18
4.053,8580,26,330,1,50,139,0.000,11,16,5,14,10,242,16,15,0.000,14,10,64,1027,8,11,19
4.005,8580,26,330,1,50,138,0.000,11,15,5,14,12,229,18,14,0.000,14,10,63,1028,7,12,18
3.537,8580,26,330,1,50,137,0.000,11,15,4,13,15,221,31,14,0.000,13,10,56,1023,5,21,17
4.231,8580,26,330,1,50,136,0.000,9,14,4,11,1,266,23,13,0.000,11,10,50,1021,2,16,18
3.005,8580,26,330,1,50,135,0.000,11,13,3,10,33,258,37,13,0.000,10,10,53,1015,3,26,15
4.336,8580,26,330,1,50,134,0.000,12,15,4,13,2,261,32,14,0.000,13,10,54,1013,5,22,17
3.976,8580,26,330,1,50,133,0.000,16,19,4,18,25,252,22,19,0.800,18,10,73,1012,13,14,22
3.960,8580,26,330,1,50,132,0.000,16,19,4,18,70,145,20,18,6.200,18,9,81,1019,15,13,20
2.734,8580,26,330,1,50,131,0.000,8,15,3,14,61,216,38,15,3.700,14,10,68,1020,10,28,16
3.798,8580,26,330,1,50,130,0.000,15,19,5,18,26,300,20,19,0.000,18,10,69,1013,13,12,23
1.117,8580,26,330,1,50,129,0.000,17,19,5,18,43,202,13,18,0.000,18,10,68,1017,12,8,20
3.357,8580,26,330,1,50,128,0.000,16,20,5,19,13,279,18,20,0.000,19,10,66,1013,12,11,23
2.810,8580,26,330,1,50,127,0.000,18,20,4,20,79,168,31,20,16.300,20,9,86,1011,17,19,21
1.400,8580,26,330,1,50,126,0.000,15,19,4,18,78,190,23,18,5.700,18,10,84,1014,16,16,20
1.406,8580,26,330,1,50,125,0.000,13,18,4,17,83,172,19,17,37.800,17,8,84,1016,14,12,19
0.417,8580,26,330,1,50,124,0.000,15,16,4,16,74,241,15,16,5.100,16,10,80,1015,13,10,16
3.952,8580,26,330,1,50,123,0.000,16,20,4,19,29,176,18,20,1.900,19,10,73,1020,14,12,23
3.454,8580,26,330,1,50,122,0.000,16,19,4,18,48,167,17,18,2.100,18,10,81,1026,15,12,20
3.182,8580,26,330,1,50,120,0.000,16,19,4,18,39,185,12,18,1.200,18,10,77,1027,14,9,20
3.909,8580,26,330,1,50,119,0.000,15,19,5,18,25,179,15,18,0.000,18,10,73,1024,13,11,20
3.007,8580,26,330,1,50,118,0.000,16,19,4,18,68,141,12,18,3.800,18,10,74,1025,14,9,20
3.164,8580,26,330,1,50,117,0.000,16,18,4,18,51,182,13,18,0.100,18,10,69,1026,12,9,19
4.158,8580,26,330,1,50,116,0.000,14,18,4,17,43,184,13,17,0.700,17,10,67,1025,11,9,20
3.243,8580,26,330,1,50,115,0.000,13,17,4,16,23,189,19,16,0.100,16,10,65,1023,10,12,19
4.295,8580,26,330,1,50,114,0.000,12,18,5,16,11,227,15,17,0.000,16,10,58,1021,8,10,21
4.595,8580,26,330,1,50,113,0.000,12,16,5,15,9,220,21,16,0.000,15,10,53,1017,6,14,19
4.507,8580,26,330,1,50,112,0.000,12,17,5,15,7,258,28,16,0.000,15,10,53,1013,6,19,20
4.552,8580,26,330,1,50,111,0.000,16,18,4,17,46,234,22,17,0.400,17,10,55,1012,8,14,20
3.313,8580,26,330,1,50,110,0.000,14,20,5,18,4,292,19,19,0.000,18,10,52,1014,8,13,24
4.599,8580,26,330,1,50,109,0.000,13,18,5,16,9,201,16,17,0.000,16,10,71,1017,12,11,21
3.682,8580,26,330,1,50,108,0.000,16,18,4,17,67,174,16,17,5.700,17,10,69,1020,11,11,19
1.055,8580,26,330,1,50,107,0.000,17,17,4,17,98,142,13,17,3.500,17,10,70,1022,12,9,18
3.150,8580,26,330,1,50,106,0.000,13,17,4,16,53,190,30,17,1.300,16,10,61,1020,9,21,18
4.710,8580,26,330,1,50,105,0.000,15,20,6,19,2,251,24,20,0.000,19,10,46,1015,7,16,24
3.583,8580,26,330,1,50,104,0.000,13,21,6,18,20,291,22,19,0.000,18,10,50,1015,8,13,26
4.880,8580,26,330,1,50,103,0.000,13,17,5,16,4,175,21,17,0.000,16,10,61,1021,8,14,20
5.020,8580,26,330,1,50,102,0.000,11,15,5,13,5,212,29,14,0.000,13,10,53,1020,5,21,17
5.204,8580,26,330,1,50,101,0.000,14,16,5,15,7,231,36,16,0.000,15,10,48,1012,5,26,18
4.490,8580,26,330,1,50,100,0.000,17,20,5,20,65,196,18,20,2.500,20,10,62,1008,12,12,23
