Efficiency,System Size,Number Of Panels,Panel Power,Number Of Inverters,Inverter Power,date,totalSnow_cm,mintempC,avgtempC,uvIndex,WindChillC,cloudcover,winddirDegree,WindGustKmph,HeatIndexC,precipMM,FeelsLikeC,visibility,humidity,pressure,DewPointC,windspeedKmph,maxtempC
2.361,8580,26,330,1,50,59,0.000,20,23,5,22,76,113,16,23,3.300,23,10,83,1014,19,10,24
3.111,8580,26,330,1,50,58,0.000,20,22,5,22,68,121,16,23,2.500,23,10,80,1014,18,10,23
1.251,8580,26,330,1,50,57,0.000,20,21,5,21,88,104,13,22,3.000,21,8,85,1014,18,9,23
1.409,8580,26,330,1,50,56,0.000,21,21,5,21,75,159,13,23,2.500,21,10,90,1015,20,9,22
2.462,8580,26,330,1,50,55,0.000,22,24,5,23,63,65,14,26,1.900,26,10,81,1018,20,10,26
2.724,8580,26,330,1,50,54,0.000,21,24,5,23,68,103,11,25,2.800,25,10,81,1019,19,8,26
0.400,8580,26,330,1,50,53,0.000,22,22,5,22,76,125,37,25,9.200,25,10,85,1016,20,22,23
4.586,8580,26,330,1,50,52,0.000,20,24,5,23,57,222,26,24,0.200,24,10,72,1008,17,19,25
5.458,8580,26,330,1,50,51,0.000,18,24,5,23,41,148,24,24,0.400,24,10,72,1011,18,19,28
1.696,8580,26,330,1,50,50,0.000,21,22,5,22,95,128,27,24,0.400,22,10,70,1018,16,21,23
5.296,8580,26,330,1,50,49,0.000,22,26,6,25,52,169,26,27,0.100,27,10,75,1010,20,21,30
4.876,8580,26,330,1,50,48,0.000,20,25,5,24,28,129,20,25,0.600,25,10,71,1010,18,15,29
5.165,8580,26,330,1,50,47,0.000,21,26,6,24,30,78,23,27,0.000,27,10,65,1017,17,18,29
5.438,8580,26,330,1,50,46,0.000,20,25,7,24,43,151,22,25,0.000,25,10,68,1022,17,17,29
5.297,8580,26,330,1,50,45,0.000,18,25,6,23,18,184,23,24,0.000,24,10,66,1023,16,17,28
3.650,8580,26,330,1,50,44,0.000,20,23,6,22,27,101,19,24,0.000,24,10,57,1020,13,14,26
1.645,8580,26,330,1,50,43,0.000,20,22,5,22,83,155,33,23,1.700,23,10,67,1017,15,25,24
3.026,8580,26,330,1,50,42,0.000,22,23,5,23,84,174,37,25,1.800,25,10,76,1016,18,27,24
4.747,8580,26,330,1,50,41,0.000,20,26,7,25,16,204,19,26,0.100,26,10,59,1011,16,14,32
5.748,8580,26,330,1,50,40,0.000,17,25,6,23,12,218,19,24,0.000,24,10,65,1010,15,14,30
4.404,8580,26,330,1,50,39,0.000,19,22,5,21,54,168,25,22,1.300,21,10,67,1015,14,17,24
3.461,8580,26,330,1,50,38,0.000,20,22,5,21,74,155,38,22,1.100,21,10,65,1021,14,28,23
4.979,8580,26,330,1,50,37,0.000,20,22,5,21,80,155,43,22,1.200,21,10,65,1021,14,32,23
4.355,8580,26,330,1,50,36,0.000,20,21,5,21,81,156,43,22,1.200,21,10,61,1018,13,32,23
3.734,8580,26,330,1,50,35,0.000,18,22,5,21,86,169,39,22,0.500,21,10,59,1015,12,31,24
5.256,8580,26,330,1,50,34,0.000,19,21,5,21,81,184,39,22,0.200,21,10,68,1010,15,32,23
1.306,8580,26,330,1,50,33,0.000,20,21,5,21,92,168,32,22,0.700,21,10,80,1006,18,25,22
4.665,8580,26,330,1,50,32,0.000,22,27,7,26,31,172,21,28,0.100,28,10,77,1002,21,16,31
4.822,8580,26,330,1,50,31,0.000,21,25,6,24,37,111,15,25,0.200,25,10,77,1010,19,11,28
5.224,8580,26,330,1,50,30,0.000,22,25,6,24,52,63,19,26,0.700,26,10,78,1015,20,14,27
5.368,8580,26,330,1,50,29,0.000,22,26,7,24,24,38,26,27,0.000,27,10,80,1015,21,20,29
5.470,8580,26,330,1,50,28,0.000,20,25,6,24,27,69,26,26,0.100,26,10,74,1016,19,19,29
5.070,8580,26,330,1,50,27,0.000,20,25,5,23,37,44,21,24,0.000,24,10,64,1016,16,16,28
4.206,8580,26,330,1,50,26,0.000,20,23,5,22,46,99,14,23,0.000,23,10,67,1014,16,11,24
3.983,8580,26,330,1,50,25,0.000,20,24,6,23,34,127,16,24,0.000,24,10,69,1011,17,12,26
4.888,8580,26,330,1,50,24,0.000,21,24,5,23,49,72,15,24,0.500,24,10,71,1013,17,11,26
