Efficiency,System Size,Number Of Panels,Panel Power,Number Of Inverters,Inverter Power,date,totalSnow_cm,mintempC,avgtempC,uvIndex,WindChillC,cloudcover,winddirDegree,WindGustKmph,HeatIndexC,precipMM,FeelsLikeC,visibility,humidity,pressure,DewPointC,windspeedKmph,maxtempC
4.671,8580,26,330,1,50,243,0.000,11,17,5,15,12,230,17,16,0.000,15,10,59,1021,7,10,21
4.279,8580,26,330,1,50,242,0.000,10,14,4,13,15,212,18,14,0.000,13,10,60,1016,6,12,17
2.198,8580,26,330,1,50,241,0.000,9,15,4,13,26,191,17,14,0.000,13,10,67,1014,7,11,19
2.433,8580,26,330,1,50,240,0.000,12,14,3,12,84,212,29,14,0.300,12,10,71,1017,9,22,16
3.428,8580,26,330,1,50,239,0.000,11,15,4,13,24,267,21,14,0.000,13,10,59,1017,5,15,18
3.374,8580,26,330,1,50,238,0.000,9,13,3,11,44,214,29,12,0.000,11,10,67,1019,6,21,15
2.320,8580,26,330,1,50,237,0.000,10,12,3,8,100,214,63,12,21.200,8,7,81,1012,9,48,13
0.293,8580,26,330,1,50,236,0.000,10,11,3,8,98,232,45,11,61.900,8,7,86,1007,9,35,12
2.080,8580,26,330,1,50,235,0.000,15,21,5,19,46,328,35,20,1.000,19,10,57,1011,10,22,24
4.204,8580,26,330,1,50,234,0.000,12,18,5,16,18,209,27,18,0.000,16,10,59,1017,9,15,21
3.224,8580,26,330,1,50,233,0.000,14,17,4,16,39,279,13,16,0.400,16,9,52,1018,7,8,20
4.443,8580,26,330,1,50,232,0.000,11,17,5,15,11,260,17,16,0.300,15,10,59,1020,7,11,20
4.098,8580,26,330,1,50,231,0.000,10,15,5,14,40,215,18,14,0.500,14,10,69,1022,8,12,18
4.155,8580,26,330,1,50,230,0.000,10,14,4,12,13,189,18,13,0.000,12,10,63,1024,6,12,17
4.622,8580,26,330,1,50,229,0.000,10,13,4,12,14,203,25,13,0.000,12,10,55,1021,4,17,15
4.512,8580,26,330,1,50,228,0.000,11,17,5,15,1,282,26,16,0.000,15,10,48,1021,4,18,21
4.601,8580,26,330,1,50,227,0.000,10,16,5,14,9,273,24,15,0.000,14,10,58,1024,6,17,20
4.316,8580,26,330,1,50,226,0.000,12,16,5,14,2,200,15,15,0.000,14,10,64,1027,8,10,18
4.533,8580,26,330,1,50,225,0.000,10,16,5,14,0,210,16,15,0.000,14,10,58,1026,6,11,19
4.449,8580,26,330,1,50,224,0.000,15,17,4,17,22,232,25,17,0.200,17,9,52,1024,7,18,18
4.018,8580,26,330,1,50,223,0.000,13,19,5,17,12,330,33,18,0.000,17,10,53,1024,8,19,23
3.650,8580,26,330,1,50,222,0.000,12,17,5,15,14,245,22,16,0.000,15,10,60,1027,8,14,20
3.571,8580,26,330,1,50,221,0.000,13,15,4,14,61,208,15,15,0.600,14,10,65,1029,8,11,17
1.674,8580,26,330,1,50,220,0.000,13,14,3,13,86,143,25,14,4.500,13,10,62,1031,7,17,15
4.392,8580,26,330,1,50,219,0.000,9,14,4,12,4,242,22,13,0.000,12,10,57,1024,5,15,17
4.324,8580,26,330,1,50,218,0.000,10,15,5,13,7,232,24,14,0.000,13,10,56,1021,5,17,19
4.250,8580,26,330,1,50,217,0.000,12,14,4,11,26,248,38,13,0.000,11,10,58,1015,5,27,16
4.284,8580,26,330,1,50,216,0.000,10,12,4,9,10,264,42,12,0.000,9,10,56,1012,3,32,14
4.213,8580,26,330,1,50,215,0.000,12,16,4,14,47,301,35,15,1.600,14,10,63,1011,7,25,19
3.558,8580,26,330,1,50,214,0.000,10,14,3,13,72,153,21,14,0.800,13,10,66,1018,7,14,16
1.956,8580,26,330,1,50,213,0.000,14,19,4,17,45,261,31,18,0.100,17,10,65,1010,11,18,23
2.947,8580,26,330,1,50,212,0.000,9,16,4,13,32,326,29,15,0.000,13,10,50,1014,4,17,21
4.245,8580,26,330,1,50,211,0.000,8,13,4,11,0,279,25,12,0.000,11,10,50,1019,1,15,18
4.203,8580,26,330,1,50,210,0.000,10,13,4,11,2,255,33,13,0.000,11,10,49,1013,2,24,16
3.212,8580,26,330,1,50,209,0.000,13,18,5,16,27,315,45,17,0.000,16,10,52,1009,6,30,21
3.769,8580,26,330,1,50,208,0.000,11,16,5,14,9,305,25,15,0.000,14,10,58,1016,6,15,20
2.243,8580,26,330,1,50,207,0.000,9,14,3,11,29,299,30,13,0.000,11,10,57,1014,4,20,17
4.077,8580,26,330,1,50,206,0.000,9,11,4,8,10,282,48,11,0.000,8,10,56,1006,3,37,12
3.706,8580,26,330,1,50,205,0.000,9,14,3,11,38,310,32,13,0.000,11,10,62,1004,6,23,15
1.708,8580,26,330,1,50,204,0.000,11,13,3,10,84,337,28,13,0.000,10,10,63,1010,6,21,15
3.944,8580,26,330,1,50,203,0.000,7,12,3,10,44,226,25,11,0.000,10,10,57,1016,3,16,16
3.010,8580,26,330,1,50,202,0.000,11,12,3,9,69,221,39,12,2.000,9,10,60,1014,4,30,14
2.218,8580,26,330,1,50,201,0.000,9,14,4,11,32,282,32,13,0.000,11,10,58,1010,4,22,16
2.782,8580,26,330,1,50,200,0.000,9,12,3,10,53,265,21,11,0.200,10,9,59,1017,4,14,15
3.933,8580,26,330,1,50,199,0.000,9,13,4,10,6,255,38,12,0.000,10,10,58,1013,4,27,15
3.638,8580,26,330,1,50,198,0.000,7,12,3,9,39,283,42,11,0.000,9,10,58,999,4,32,13
3.310,8580,26,330,1,50,197,0.000,13,15,5,13,21,310,38,15,0.000,13,10,61,998,7,27,17
2.809,8580,26,330,1,50,196,0.000,14,17,4,16,49,327,32,16,0.300,16,10,65,1005,9,20,20
0.435,8580,26,330,1,50,195,0.000,11,15,4,13,38,332,28,14,0.000,13,10,62,1012,7,18,17
3.209,8580,26,330,1,50,194,0.000,10,15,4,12,22,299,24,13,0.000,12,10,64,1017,6,15,18
2.990,8580,26,330,1,50,193,0.000,10,13,4,12,29,186,20,13,0.300,12,10,74,1022,8,13,16
2.665,8580,26,330,1,50,192,0.000,11,15,3,13,83,152,21,14,11.700,13,9,72,1024,9,14,15
0.910,8580,26,330,1,50,191,0.000,8,13,3,10,90,213,48,12,24.900,10,8,80,1016,9,34,14
0.527,8580,26,330,1,50,190,0.000,9,12,3,11,77,274,14,12,2.300,11,8,81,1017,9,9,13
2.859,8580,26,330,1,50,189,0.000,9,12,4,11,33,237,16,12,0.000,11,10,75,1024,8,10,15
2.897,8580,26,330,1,50,188,0.000,9,13,3,11,35,220,13,12,0.100,11,10,69,1024,7,8,15
3.310,8580,26,330,1,50,187,0.000,9,12,3,10,42,234,15,11,0.000,10,10,66,1022,5,11,14
3.655,8580,26,330,1,50,186,0.000,9,12,4,10,17,231,25,11,0.000,10,10,59,1021,4,17,15
3.795,8580,26,330,1,50,185,0.000,8,12,4,10,3,271,21,11,0.000,10,10,59,1021,3,14,15
3.355,8580,26,330,1,50,184,0.000,12,16,5,14,11,272,20,15,0.000,14,10,64,1018,8,12,18
2.786,8580,26,330,1,50,183,0.000,14,16,4,15,56,331,17,16,1.600,15,10,78,1019,12,11,19
1.493,8580,26,330,1,50,182,0.000,11,15,3,14,42,204,16,14,0.200,14,10,80,1025,11,11,17
1.766,8580,26,330,1,50,181,0.000,13,16,4,15,45,208,9,15,3.500,15,10,76,1030,11,6,18
1.646,8580,26,330,1,50,180,0.000,9,15,4,14,83,124,14,15,5.500,14,10,73,1033,10,9,17
1.507,8580,26,330,1,50,179,0.000,12,14,3,13,70,191,26,14,2.500,13,10,71,1032,9,18,15
3.627,8580,26,330,1,50,178,0.000,9,13,4,11,7,219,22,12,0.000,11,10,59,1025,4,14,16
3.530,8580,26,330,1,50,177,0.000,10,14,4,12,14,280,25,13,0.000,12,10,61,1019,5,17,16
3.644,8580,26,330,1,50,176,0.000,13,16,5,14,9,309,27,15,0.000,14,10,62,1015,8,17,18
1.630,8580,26,330,1,50,175,0.000,15,17,4,16,80,349,33,16,1.300,16,9,68,1015,10,22,18
2.179,8580,26,330,1,50,174,0.000,12,15,4,14,38,289,21,15,0.300,14,10,72,1026,9,13,17
1.721,8580,26,330,1,50,173,0.000,12,16,4,15,41,115,11,15,0.400,15,10,64,1029,8,7,17
1.966,8580,26,330,1,50,172,0.000,10,15,3,13,75,184,28,14,3.300,13,10,72,1027,9,20,16
1.243,8580,26,330,1,50,171,0.000,12,15,4,14,95,185,47,15,3.100,14,10,67,1022,9,34,16
0.648,8580,26,330,1,50,170,0.000,12,14,3,11,95,206,57,14,12.600,11,9,71,1015,9,41,15
3.301,8580,26,330,1,50,169,0.000,11,14,3,12,40,266,34,13,1.200,12,9,64,1007,7,24,17
3.679,8580,26,330,1,50,168,0.000,11,14,3,12,35,287,29,13,2.000,12,10,65,1010,7,19,16
3.119,8580,26,330,1,50,167,0.000,11,15,5,14,16,213,23,15,0.000,14,10,67,1016,8,15,18
1.519,8580,26,330,1,50,166,0.000,11,15,4,14,31,211,14,14,0.400,14,10,60,1018,7,9,17
1.705,8580,26,330,1,50,165,0.000,9,14,4,12,25,243,18,13,0.000,12,10,60,1016,5,11,17
3.618,8580,26,330,1,50,164,0.000,9,14,4,12,21,276,21,13,0.000,12,10,62,1016,6,13,17
3.601,8580,26,330,1,50,163,0.000,9,13,4,11,6,302,24,12,0.000,11,10,64,1016,6,16,16
2.476,8580,26,330,1,50,162,0.000,7,10,2,7,60,294,26,9,1.600,7,9,81,1011,6,18,11
0.665,8580,26,330,1,50,161,0.000,8,10,2,7,97,128,31,10,11.100,7,8,82,1005,7,25,11
3.512,8580,26,330,1,50,160,0.000,10,12,3,10,80,300,25,12,11.400,10,9,68,1004,6,19,13
