System Id,System Name,System Size,Postcode,Number Of Panels,Panel Power,Panel Brand,Number Of Inverters,Inverter Power,Inverter Brand,Orientation,Array Tilt,Shade,Install Date,Latitude,Longitude,Status Interval
72791,19th51st,9000,20010,25,360,Sunpower X22-360-E-AC,25,315,Enphase IQ7XS-96-ACM-US,NE,5.0,No,20191216,38.933311,-77.02929,5
41080,8thStDC,3750,20011,15,250,Canadian Solar,15,3375,Enphase Envoy,S,15.0,Low,20151001,38.95211,-77.02097,5
76753,9400PCC,15190,20882,49,310,Longi LR6-60HPB-310M,2,7600,SolarEdge SE7600H-US,S,37.0,Low,20200616,39.229652,-77.1594,5
73924,Arlington Jacksonville st,5985,22205,19,315,Jinko,1,5000,Solar Edge SE5000H-US,S,1.0,Low,20200127,38.88275,-77.13999,5
75792,Bethesda Home,17980,20817,58,310,Silfab SLA-M 310,2,7600,Solaredge SE7600H,SE,23.0,No,20200218,38.996842,-77.13519,5
43992,Bird Dump,7875,20852,25,315,LG 315N1C-G4,1,7600,SolarEdge SE7600A-US,SE,16.0,Low,20151231,39.0509,-77.12261,5
45363,Coops SolarEdge,9405,20170,33,285,Solarworld Sunmodule 285,1,7600,Solaredge 7600A-US,S,18.0,Low,20150814,38.977109,-77.38527,15
11742,d&d urban solar homestead,4935,20003,21,235,21 jinko,21,210,Enphase M-190 Micro Inverters,SW,NaN,Low,20120912,38.88106,-76.983248,5
71503,Endor10.8kW,10800,20144,36,300,Trina,1,10000,SolarEdge,S,1.0,No,20191113,38.918435,-77.9255,5
42878,Ethical Utterhood - Enphase,8750,20136,35,250,Canadian Solar CS6P-250P,35,225,Enphase M215,E,27.0,No,20141125,38.766341,-77.55578,5
43231,Ethical Utterhood - Neurio,8750,20136,35,250,Canadian Solar,35,225,Enphase M215,E,27.0,No,20141125,38.7475,-77.56917,5
80525,Hidden Creek Solar,15480,20112,43,360,Solaria PowerXT 360R-PD,43,290,Enphase IQ7+,S,0.0,Low,20201202,38.660381,-77.417307,5
10795,Home of Happy Cats,24605,20855,133,185,Suntech,133,195,Enphase,SE,18.0,Low,20110624,39.131705,-77.14981,5
41325,Indignant Duck,7140,20124,28,255,Yingli Solar - YL255P-29b,28,250,Enphase,S,40.0,Medium,20151017,38.797424,-77.39237,5
9489,Kilowatt,6480,20002,27,240,Suntech 240 Mono,27,260,Enphase M215-60-2LL-S22/S23,SW,15.0,Low,20120606,38.891257,-76.989082,5
50665,ManorParkDC,5525,20011,17,325,Panasonic,1,5000,SolarEdge,S,5.0,Low,20170123,38.95211,-77.02097,5
65921,Maplelawn Home,10440,20759,29,360,Solaria POWERXT-360R-PD,29,10440,Enphase IQ7+,SW,30.0,No,20190304,39.147257,-76.93799,5
69711,Maryland 20882,38190,20882,114,335,Panasonic HIT 335,3,11400,Solar Edge 11400 HD Wave,S,25.0,No,20190819,39.229652,-77.1594,5
45412,NewportLake,9625,20194,35,275,Canadian Solar CS6K-275M,1,8350,SolarEdge SE7600,S,33.5,Medium,20161213,38.977362,-77.34658,5
51486,PlumpyChunq,12300,20135,41,300,Silfab SLG300M,2,11000,SolarEdge SE5000 & 6000-US HD,SW,40.0,No,20170410,39.109988,-77.829799,5
66844,Rose's Solar,5850,20169,18,325,LG NeON2,1,7600,SolarEdge SE7600H-HD,SW,18.0,No,20190419,38.860551,-77.64947,5
58322,SkyNRG04,5670,20180,18,315,Solaria 315R-BX,1,5000,SE5000H,S,29.0,No,20180410,39.261906,-77.64239,5
58633,SkyNRG05,9100,20171,26,350,Solaria 350R-BX,1,7600,SE7600H,S,1.0,Low,20180423,39.00035,-77.379178,5
59826,SkyNRG06,5900,22204,18,310,Solaria/Silfab,1,6000,SE6000H,EW,10.0,Low,20180612,38.860247,-77.09627,5
61311,SkyNRG07,13300,20124,38,350,Solaria 350R-PD,1,10000,SolarEdge SE1000,S,40.0,Low,20180801,38.797424,-77.39237,5
67186,SkyNRG12,4900,20171,14,350,Solaria,1,5000,SolarEdge SE5000H,S,27.0,Medium,20190511,38.931479,-77.40085,5
68379,SkyNRG13,7750,20176,25,310,Silfab SLA310M,1,7600,SolarEdge SE7600H,S,34.0,No,20190629,39.138978,-77.54519,5
70536,SkyNRG15,9490,20194,26,365,LG LG365Q1C-A5,1,7600,SolarEdge SE7600H,SW,31.0,Medium,20191002,38.977362,-77.34658,5
9707,Squire Oaks Farm,4400,20180,20,220,Evergreen ES-E 220-fc3,1,4000,SMA Sunny Boy 4000US,S,37.0,No,20120628,39.279498,-77.651917,5
58361,Stetter Home,13200,20141,44,300,Canadian Solar/CS6X-300M,2,12600,SolarEdge/SE7600/SE5000,S,33.0,No,20180402,39.119917,-77.77328,5
52733,TaftArrayMain,5760,20011,18,320,LG320N1C-G4,1,6000,SE6000 US,S,35.0,Low,20170605,38.95211,-77.02097,5
47249,Wenger E - Bethesda MD,8480,20817,32,265,Canadian Solar/CS6P-265P,1,7600,SolarEdge/SE7600A-US,S,36.0,No,20160727,38.996842,-77.13519,5
55818,West Barcroft Hills,5940,22204,18,330,Panasonic VBHN330SA16,1,5000,SolarEdge SE5000HD,S,40.0,No,20171121,38.860247,-77.09627,5
64307,Yellow Star,10075,20148,31,325,LG325N1C-A5,1,7600,SE 7600,SE,25.0,No,20190110,39.020637,-77.52276,5
