Efficiency,System Size,Number Of Panels,Panel Power,Number Of Inverters,Inverter Power,date,totalSnow_cm,mintempC,avgtempC,uvIndex,WindChillC,cloudcover,winddirDegree,WindGustKmph,HeatIndexC,precipMM,FeelsLikeC,visibility,humidity,pressure,DewPointC,windspeedKmph,maxtempC
1.460,5525,17,325,1,5000,356,0.000,1,4,1,3,54,205,7,4,0.100,3,6,86,1011,2,4,7
0.982,5525,17,325,1,5000,355,0.000,0,2,1,-1,88,179,12,2,1.400,-1,7,88,1021,0,8,3
1.412,5525,17,325,1,5000,354,0.000,-2,0,1,-1,43,249,6,0,0.000,-1,10,78,1029,-4,5,2
0.649,5525,17,325,1,5000,353,0.000,-1,1,1,-2,75,265,11,1,0.100,-2,9,80,1026,-2,8,2
1.037,5525,17,325,1,5000,352,4.900,-3,0,1,-3,100,22,14,0,41.500,-3,7,90,1018,-1,10,1
1.926,5525,17,325,1,5000,350,0.000,0,1,1,-2,29,242,18,2,0.000,-2,10,53,1026,-7,13,3
0.242,5525,17,325,1,5000,349,0.000,4,5,1,3,80,154,23,6,58.300,3,8,76,1013,2,16,7
1.804,5525,17,325,1,5000,348,0.000,10,12,3,10,29,261,19,12,0.000,10,10,69,1016,6,12,13
0.993,5525,17,325,1,5000,347,0.000,9,12,3,11,60,190,18,12,0.100,11,6,81,1017,8,11,15
1.668,5525,17,325,1,5000,346,0.000,4,8,3,6,5,189,14,8,0.000,6,10,75,1022,4,9,12
1.693,5525,17,325,1,5000,345,0.000,4,7,3,5,10,263,14,7,0.000,5,10,67,1019,1,9,10
1.026,5525,17,325,1,5000,344,0.000,1,4,1,1,64,255,16,3,0.500,1,10,63,1012,-3,11,7
1.753,5525,17,325,1,5000,343,0.000,0,3,2,-3,6,318,28,2,0.000,-3,10,56,1012,-6,20,6
1.261,5525,17,325,1,5000,342,0.000,1,2,2,-2,29,328,18,2,0.000,-2,10,56,1013,-6,13,4
1.744,5525,17,325,1,5000,341,0.000,2,4,2,-1,9,307,23,3,0.000,-1,10,58,1014,-4,17,6
1.201,5525,17,325,1,5000,340,0.000,5,7,2,4,77,253,30,7,59.900,4,7,79,1008,4,22,10
0.538,5525,17,325,1,5000,339,0.000,1,6,2,4,66,211,14,6,3.500,4,10,67,1020,1,10,7
1.895,5525,17,325,1,5000,338,0.000,3,6,3,4,12,240,13,6,0.000,4,10,48,1025,-5,9,9
1.591,5525,17,325,1,5000,337,0.000,3,4,2,0,15,276,25,4,0.000,0,10,48,1017,-6,18,6
1.360,5525,17,325,1,5000,336,0.000,5,7,2,4,70,266,21,7,1.400,4,9,56,1005,-1,16,8
0.271,5525,17,325,1,5000,335,0.000,10,13,3,11,83,177,24,12,37.900,11,8,86,1005,10,15,15
1.965,5525,17,325,1,5000,334,0.000,9,11,4,10,6,227,10,11,0.000,10,10,52,1021,1,7,13
1.881,5525,17,325,1,5000,333,0.000,9,11,4,10,41,305,15,11,0.000,10,10,60,1018,4,11,13
0.850,5525,17,325,1,5000,332,0.000,10,13,3,12,29,319,8,13,0.000,12,10,68,1019,7,6,15
1.549,5525,17,325,1,5000,331,0.000,9,16,4,14,71,232,21,14,25.900,14,7,83,1018,11,14,18
2.084,5525,17,325,1,5000,330,0.000,6,9,2,7,36,183,19,9,0.000,7,10,60,1026,1,13,12
2.118,5525,17,325,1,5000,329,0.000,4,7,3,4,7,295,15,7,0.000,4,10,52,1028,-3,11,9
2.207,5525,17,325,1,5000,328,0.000,8,10,3,8,47,282,26,10,0.600,8,10,62,1019,4,19,13
