Efficiency,System Size,Number Of Panels,Panel Power,Number Of Inverters,Inverter Power,date,totalSnow_cm,mintempC,avgtempC,uvIndex,WindChillC,cloudcover,winddirDegree,WindGustKmph,HeatIndexC,precipMM,FeelsLikeC,visibility,humidity,pressure,DewPointC,windspeedKmph,maxtempC
5.159,5525,17,325,1,5000,172,0.000,22,28,6,27,31,203,20,29,0.300,29,10,68,1007,20,14,32
5.370,5525,17,325,1,5000,171,0.000,22,28,6,27,53,224,12,29,0.400,29,9,68,1010,20,8,32
2.306,5525,17,325,1,5000,170,0.000,20,23,5,23,74,234,20,25,3.400,25,10,76,1011,18,12,27
5.945,5525,17,325,1,5000,169,0.000,16,24,6,22,6,208,14,22,0.000,22,10,48,1016,10,9,28
6.588,5525,17,325,1,5000,168,0.000,14,20,5,19,6,298,14,19,0.000,19,10,50,1017,8,10,23
6.477,5525,17,325,1,5000,167,0.000,16,21,6,20,17,307,14,21,0.000,20,10,60,1014,11,10,24
5.175,5525,17,325,1,5000,166,0.000,18,22,6,21,35,296,16,22,1.400,22,9,71,1011,15,11,26
5.798,5525,17,325,1,5000,165,0.000,19,25,5,24,48,246,11,24,12.700,24,9,74,1009,18,8,29
3.700,5525,17,325,1,5000,164,0.000,19,24,5,23,75,201,12,24,19.300,24,7,84,1009,19,8,27
3.421,5525,17,325,1,5000,163,0.000,17,22,5,21,85,66,8,22,1.900,21,7,84,1011,18,6,25
0.789,5525,17,325,1,5000,162,0.000,14,18,4,18,100,62,18,18,22.400,18,6,98,1013,18,12,19
3.335,5525,17,325,1,5000,161,0.000,23,26,6,25,59,247,9,27,3.200,27,9,74,1015,20,6,29
3.085,5525,17,325,1,5000,160,0.000,21,27,6,25,48,207,8,27,2.600,27,8,78,1017,21,5,32
4.094,5525,17,325,1,5000,159,0.000,22,24,5,23,57,265,9,26,1.000,26,8,85,1020,21,6,26
4.908,5525,17,325,1,5000,158,0.000,23,27,6,26,52,212,13,29,0.800,29,9,72,1019,20,9,31
5.262,5525,17,325,1,5000,157,0.000,21,29,7,28,12,253,10,30,0.000,30,10,58,1016,17,6,34
5.753,5525,17,325,1,5000,156,0.000,13,25,7,23,10,259,11,23,0.000,23,8,71,1016,17,7,30
4.488,5525,17,325,1,5000,155,0.000,14,24,5,22,54,234,13,23,2.800,23,8,74,1015,17,9,28
3.591,5525,17,325,1,5000,154,0.000,18,22,5,21,73,184,19,21,3.200,21,9,82,1016,17,13,26
5.595,5525,17,325,1,5000,153,0.000,16,20,5,20,55,157,12,20,2.400,20,10,76,1022,15,8,25
5.340,5525,17,325,1,5000,152,0.000,14,20,5,19,40,187,10,19,0.100,19,10,68,1025,12,6,25
6.392,5525,17,325,1,5000,151,0.000,4,16,5,13,30,271,14,14,0.000,13,9,69,1024,8,10,21
1.803,5525,17,325,1,5000,150,0.000,9,10,3,8,90,160,17,10,6.000,8,8,86,1022,7,12,11
0.933,5525,17,325,1,5000,149,0.000,6,11,3,10,100,44,20,12,20.500,10,7,97,1014,11,14,12
2.767,5525,17,325,1,5000,148,0.000,12,17,4,17,70,79,17,17,14.900,17,9,72,1014,12,11,19
5.560,5525,17,325,1,5000,147,0.000,20,24,5,23,58,291,13,24,2.400,24,9,70,1016,17,9,27
5.062,5525,17,325,1,5000,146,0.000,18,26,6,23,54,191,13,25,3.900,25,9,72,1018,18,9,31
4.710,5525,17,325,1,5000,145,0.000,10,24,5,21,75,173,14,23,0.000,23,10,62,1022,14,11,30
1.319,5525,17,325,1,5000,144,0.000,19,20,4,20,91,105,15,21,0.100,20,10,67,1021,14,11,21
5.494,5525,17,325,1,5000,143,0.000,20,25,6,24,40,317,20,25,0.000,25,10,62,1016,16,14,29
4.748,5525,17,325,1,5000,142,0.000,18,25,5,23,42,266,11,24,1.900,24,10,61,1023,15,8,29
5.936,5525,17,325,1,5000,141,0.000,16,24,6,23,21,160,9,23,0.000,23,10,50,1030,10,7,29
5.331,5525,17,325,1,5000,140,0.000,19,26,7,25,16,171,8,25,0.000,25,10,54,1028,13,5,31
5.942,5525,17,325,1,5000,139,0.000,16,24,6,22,9,196,8,23,0.000,23,10,60,1026,13,5,28
5.161,5525,17,325,1,5000,138,0.000,14,21,6,20,8,229,6,21,0.000,20,10,63,1027,11,4,26
3.815,5525,17,325,1,5000,137,0.000,11,15,3,14,90,83,9,14,3.000,14,7,87,1025,12,6,18
3.413,5525,17,325,1,5000,136,0.000,10,14,3,14,81,210,9,14,11.600,14,9,83,1025,11,6,15
4.956,5525,17,325,1,5000,135,0.000,11,18,5,17,24,243,9,17,0.000,17,10,52,1025,6,6,23
4.100,5525,17,325,1,5000,134,0.000,12,16,4,15,73,283,9,15,0.300,15,10,55,1025,6,6,19
6.015,5525,17,325,1,5000,133,0.000,9,15,4,13,13,341,13,13,0.000,13,10,50,1026,2,9,18
5.125,5525,17,325,1,5000,132,0.000,6,12,3,10,37,318,14,12,0.000,10,10,52,1024,2,10,16
4.566,5525,17,325,1,5000,131,0.000,9,13,3,12,27,291,19,12,0.000,12,10,52,1020,3,13,16
5.309,5525,17,325,1,5000,130,0.000,12,18,4,16,43,269,31,17,0.100,16,10,58,1011,9,21,19
3.240,5525,17,325,1,5000,129,0.000,8,14,3,12,51,231,20,13,0.000,12,10,59,1016,5,13,19
4.303,5525,17,325,1,5000,128,0.000,6,10,2,7,57,298,19,9,1.800,7,10,71,1014,4,13,13
2.595,5525,17,325,1,5000,127,0.000,9,12,3,11,59,223,9,11,13.300,11,9,69,1013,5,7,16
5.673,5525,17,325,1,5000,126,0.000,7,12,3,10,35,316,13,11,0.200,10,9,56,1018,2,10,16
