Efficiency,System Size,Number Of Panels,Panel Power,Number Of Inverters,Inverter Power,date,totalSnow_cm,mintempC,avgtempC,uvIndex,WindChillC,cloudcover,winddirDegree,WindGustKmph,HeatIndexC,precipMM,FeelsLikeC,visibility,humidity,pressure,DewPointC,windspeedKmph,maxtempC
5.011,5525,17,325,1,5000,80,0.000,6,11,4,10,0,187,8,11,0.000,10,10,39,1035,-3,6,15
5.018,5525,17,325,1,5000,79,0.000,1,9,3,6,0,44,10,7,0.000,6,10,34,1034,-8,7,14
5.151,5525,17,325,1,5000,78,1.000,3,5,2,3,68,38,29,6,10.400,3,8,66,1015,0,22,7
0.407,5525,17,325,1,5000,77,0.000,9,11,3,9,97,134,17,10,20.200,9,8,95,1012,10,11,12
1.180,5525,17,325,1,5000,76,0.000,-2,10,3,8,76,100,7,9,0.000,8,10,76,1019,5,5,15
1.074,5525,17,325,1,5000,75,1.300,-2,2,1,-1,94,143,15,3,5.600,-1,5,78,1022,-1,11,3
4.451,5525,17,325,1,5000,74,0.000,-2,3,2,0,14,229,17,3,0.100,0,10,27,1029,-15,13,9
4.582,5525,17,325,1,5000,73,0.000,5,10,2,6,49,308,27,9,0.000,6,10,40,1022,-4,20,14
1.942,5525,17,325,1,5000,71,0.000,14,15,4,15,53,273,22,15,0.100,15,10,54,1022,6,15,16
4.280,5525,17,325,1,5000,70,0.000,11,16,4,14,26,202,21,15,0.000,14,10,55,1025,6,14,20
4.329,5525,17,325,1,5000,69,0.000,8,13,3,12,33,120,12,12,0.000,12,10,63,1031,5,9,17
3.897,5525,17,325,1,5000,68,0.000,5,11,3,9,41,219,14,10,0.000,9,10,56,1030,2,9,16
4.589,5525,17,325,1,5000,67,0.000,-1,4,2,1,11,301,10,4,0.000,1,10,41,1032,-9,8,9
4.553,5525,17,325,1,5000,66,0.000,-2,1,2,-2,0,330,15,1,0.000,-2,10,38,1027,-12,12,4
3.919,5525,17,325,1,5000,65,0.000,-1,3,2,-2,9,306,24,2,0.000,-2,10,44,1020,-9,17,6
4.491,5525,17,325,1,5000,64,0.000,-2,1,2,-4,4,312,26,1,0.000,-4,10,39,1019,-12,20,5
3.961,5525,17,325,1,5000,63,0.000,4,6,3,2,13,316,25,6,0.000,2,10,55,1015,-3,19,8
4.167,5525,17,325,1,5000,62,0.000,-1,7,3,4,2,246,15,6,0.000,4,10,46,1016,-5,10,12
4.317,5525,17,325,1,5000,61,0.000,-1,3,2,-1,4,289,20,3,0.000,-1,10,34,1023,-12,15,8
0.925,5525,17,325,1,5000,60,0.000,2,9,2,6,77,258,20,8,34.800,6,7,81,1011,5,13,10
0.216,5525,17,325,1,5000,59,0.000,9,10,2,9,85,154,13,10,34.400,9,8,97,1018,10,7,11
1.840,5525,17,325,1,5000,58,0.000,5,9,2,6,81,187,16,8,2.200,6,5,88,1022,6,11,12
2.602,5525,17,325,1,5000,57,0.000,2,6,2,4,46,180,10,5,0.100,4,10,50,1030,-5,8,8
3.961,5525,17,325,1,5000,56,0.000,3,6,3,4,40,281,18,6,0.200,4,10,54,1021,-3,13,9
3.858,5525,17,325,1,5000,55,0.000,2,8,2,5,28,235,21,7,0.100,5,10,67,1016,1,14,14
2.828,5525,17,325,1,5000,54,0.200,0,4,1,0,40,260,19,3,0.500,0,9,76,1011,-1,12,7
0.456,5525,17,325,1,5000,53,0.000,-1,2,1,-3,79,204,25,1,5.700,-3,8,81,1020,-2,15,4
3.824,5525,17,325,1,5000,52,0.000,-6,-2,1,-6,21,254,14,-3,0.000,-6,10,67,1034,-8,10,2
2.973,5525,17,325,1,5000,51,0.000,-5,-4,1,-10,28,308,28,-4,0.100,-10,10,73,1025,-8,19,-2
0.321,5525,17,325,1,5000,50,2.000,-7,0,1,-5,91,301,19,-1,9.300,-5,5,96,1018,-1,11,1
3.221,5525,17,325,1,5000,48,0.000,-5,-2,2,-6,36,278,18,-2,0.000,-6,10,47,1027,-12,14,0
1.086,5525,17,325,1,5000,47,0.000,-3,6,2,1,70,237,22,4,32.200,1,7,80,1009,1,15,8
0.948,5525,17,325,1,5000,46,0.000,1,2,1,0,100,69,10,2,1.000,0,4,96,1019,1,6,4
1.135,5525,17,325,1,5000,45,0.000,-6,0,1,-3,100,140,10,-1,2.300,-3,2,96,1023,-1,6,1
0.325,5525,17,325,1,5000,44,0.000,-2,-2,1,-5,95,60,11,-2,0.100,-5,10,75,1026,-5,8,-1
0.532,5525,17,325,1,5000,43,2.500,-4,-3,1,-6,92,54,11,-2,3.100,-6,6,82,1026,-5,9,-2
1.886,5525,17,325,1,5000,41,0.200,-2,0,1,-3,65,140,16,1,0.200,-3,10,56,1028,-8,12,2
2.860,5525,17,325,1,5000,40,0.000,-5,4,1,0,74,223,17,3,0.000,0,10,71,1025,-2,12,8
3.137,5525,17,325,1,5000,39,0.000,-5,-2,1,-5,33,226,11,-2,0.000,-5,10,50,1028,-11,9,1
1.037,5525,17,325,1,5000,38,14.300,-2,1,1,-2,93,181,17,1,19.600,-2,6,85,1016,-1,12,2
2.158,5525,17,325,1,5000,37,0.000,0,4,1,0,39,215,18,3,0.000,0,10,52,1017,-6,12,7
2.910,5525,17,325,1,5000,36,0.000,-2,6,2,1,76,229,23,5,3.800,1,10,72,1007,0,15,9
1.524,5525,17,325,1,5000,35,0.000,-3,-1,2,-5,14,272,21,-1,0.000,-5,10,76,1015,-5,13,2
2.686,5525,17,325,1,5000,30,0.000,-4,-2,2,-5,28,285,14,-2,0.000,-5,10,48,1027,-12,11,1
1.787,5525,17,325,1,5000,29,0.000,-5,-3,1,-10,50,317,28,-3,0.000,-10,10,45,1026,-14,21,-1
2.397,5525,17,325,1,5000,28,0.000,-3,-2,1,-8,46,335,31,-2,0.000,-8,10,55,1021,-10,24,0
1.359,5525,17,325,1,5000,27,0.000,0,6,2,3,74,292,14,6,0.000,3,6,81,1014,3,9,8
0.324,5525,17,325,1,5000,26,0.000,0,3,1,0,100,107,13,2,6.000,0,5,93,1014,2,9,5
0.481,5525,17,325,1,5000,25,0.000,0,2,1,-1,98,75,9,1,5.200,-1,8,60,1019,-6,7,4
2.156,5525,17,325,1,5000,24,0.000,-3,0,1,-3,53,252,12,0,0.100,-3,10,45,1025,-11,9,3
2.359,5525,17,325,1,5000,23,0.000,-3,-2,2,-8,2,316,27,-2,0.000,-8,10,43,1022,-13,21,0
2.083,5525,17,325,1,5000,22,0.000,1,4,2,0,9,281,19,4,0.000,0,10,55,1010,-5,13,6
2.282,5525,17,325,1,5000,21,0.000,0,4,2,1,10,240,13,3,0.000,1,10,55,1012,-5,9,8
1.494,5525,17,325,1,5000,20,0.000,1,2,2,-2,18,288,21,2,0.000,-2,10,48,1020,-8,15,3
