Efficiency,System Size,Number Of Panels,Panel Power,Number Of Inverters,Inverter Power,date,totalSnow_cm,mintempC,avgtempC,uvIndex,WindChillC,cloudcover,winddirDegree,WindGustKmph,HeatIndexC,precipMM,FeelsLikeC,visibility,humidity,pressure,DewPointC,windspeedKmph,maxtempC
5.374,8280,36,230,36,6761,225,0.000,18,26,10,26,7,313,10,26,0.000,26,10,44,1016,10,15,34
4.745,10000,40,250,40,215,225,0.000,21,31,9,31,11,184,13,32,0.000,32,10,28,1014,7,14,39
3.579,8100,30,270,2,7200,225,0.000,18,26,10,26,7,313,10,26,0.000,26,10,44,1016,10,15,34
4.773,8250,33,250,33,7095,225,0.000,21,31,9,31,12,195,16,32,0.000,32,10,34,1013,10,17,41
5.261,8320,32,260,2,7500,225,0.000,21,34,9,34,14,157,13,36,0.000,36,10,24,1011,7,21,45
5.212,13440,48,280,48,240,225,0.000,22,32,9,32,13,155,15,32,0.000,32,10,26,1014,7,15,39
4.378,8320,32,260,1,8200,225,0.000,22,32,9,32,12,181,18,33,0.000,33,10,29,1013,9,18,41
3.872,12075,35,345,1,11000,225,0.000,18,26,10,26,7,313,10,26,0.000,26,10,44,1016,10,15,34
1.449,8320,30,280,26,260,225,0.000,24,31,10,31,12,198,15,32,0.000,32,10,25,1014,6,18,37
3.595,9920,31,320,1,10000,225,0.000,22,31,10,31,11,153,14,32,0.000,32,10,25,1014,7,15,39
4.602,11400,40,285,1,11400,225,0.000,22,32,9,32,13,322,23,33,0.000,33,10,25,1013,7,23,41
5.478,11340,36,315,1,10000,225,0.000,22,32,9,32,13,175,14,33,0.000,33,10,27,1013,7,13,40
4.345,8000,25,320,1,7600,225,0.000,19,31,9,31,13,192,21,32,0.000,32,10,38,1012,10,23,42
5.312,8125,25,325,1,10000,225,0.000,21,31,9,31,13,185,16,32,0.000,32,10,29,1013,8,13,40
4.947,11520,36,320,1,7625,225,0.000,16,26,10,26,6,301,11,27,0.000,27,10,38,1016,8,14,35
5.126,8040,24,335,1,7600,225,0.000,21,31,9,31,13,185,16,32,0.000,32,10,29,1013,8,13,40
4.256,13320,444,30,2,5200,225,0.000,18,27,10,27,6,317,11,27,0.000,27,10,40,1016,9,15,35
4.910,10950,30,365,30,440,225,0.000,18,27,10,27,6,317,11,27,0.000,27,10,40,1016,9,15,35
5.839,8450,26,325,1,7600,225,0.000,18,26,10,26,7,313,10,26,0.000,26,10,44,1016,10,15,34
4.580,8250,30,275,1,7700,225,0.000,21,34,9,34,14,157,13,36,0.000,36,10,24,1011,7,21,45
5.445,8190,26,315,1,7600,225,0.000,18,27,10,27,6,317,11,27,0.000,27,10,40,1016,9,15,35
4.409,10500,30,350,30,290,225,0.000,21,31,9,31,13,185,16,32,0.000,32,10,29,1013,8,13,40
4.665,12000,32,375,1,11400,225,0.000,22,32,9,32,13,319,25,33,0.000,33,10,25,1013,7,24,41
