System Size,Number Of Panels,Panel Power,Number Of Inverters,Inverter Power,date,totalSnow_cm,mintempC,avgtempC,uvIndex,WindChillC,cloudcover,winddirDegree,WindGustKmph,HeatIndexC,precipMM,FeelsLikeC,visibility,humidity,pressure,DewPointC,windspeedKmph,maxtempC
8250,33,250,33,7095,334,0.000,7,13,3,12,33,203,5,12,0.000,12,10,51,1023,2,3,16
8250,33,250,33,7095,333,0.000,8,14,4,13,0,339,6,13,0.000,13,10,48,1024,2,5,18
8250,33,250,33,7095,332,0.000,7,12,4,12,14,159,4,12,0.000,12,10,35,1025,-4,3,16
8250,33,250,33,7095,331,0.000,7,13,4,10,2,344,30,11,0.000,10,10,37,1024,-3,18,17
8250,33,250,33,7095,330,0.000,8,13,4,11,8,319,13,12,0.000,11,10,65,1021,5,9,15
8250,33,250,33,7095,329,0.000,10,15,5,14,1,182,7,14,0.000,14,10,61,1018,6,5,19
8250,33,250,33,7095,328,0.000,8,13,4,12,24,326,7,12,0.000,12,10,61,1016,5,5,16
8250,33,250,33,7095,327,0.000,9,14,4,12,22,259,5,12,0.000,12,10,52,1017,2,3,17
8250,33,250,33,7095,326,0.000,9,13,3,12,26,223,6,12,0.000,12,10,55,1023,3,5,16
8250,33,250,33,7095,325,0.000,8,13,4,12,14,338,9,12,0.000,12,10,53,1024,2,7,16
8250,33,250,33,7095,324,0.000,10,14,4,12,23,334,13,13,0.000,12,10,69,1025,7,9,16
8250,33,250,33,7095,323,0.000,13,16,4,15,54,211,21,15,3.700,15,10,76,1017,11,14,18
8250,33,250,33,7095,322,0.000,7,16,4,13,72,197,14,14,14.700,13,9,65,1013,7,9,20
8250,33,250,33,7095,321,0.000,11,17,5,16,3,82,6,16,0.000,16,10,50,1018,5,4,21
8250,33,250,33,7095,320,0.000,9,16,5,15,7,287,8,15,0.000,15,10,51,1025,4,5,20
8250,33,250,33,7095,319,0.000,8,14,4,12,16,322,9,12,0.000,12,10,72,1024,7,6,17
8250,33,250,33,7095,318,0.000,3,10,3,8,54,155,20,10,0.600,8,8,63,1019,4,12,12
8250,33,250,33,7095,317,0.000,8,13,3,12,18,235,6,12,0.000,12,10,53,1019,2,4,17
8250,33,250,33,7095,316,0.000,8,12,3,11,59,320,8,11,0.000,11,10,50,1019,1,5,15
8250,33,250,33,7095,315,0.000,6,12,4,10,17,249,7,10,0.000,10,10,38,1022,-4,4,16
8250,33,250,33,7095,314,0.000,5,11,4,9,5,333,6,10,0.000,9,10,33,1021,-6,5,15
8250,33,250,33,7095,313,0.000,6,11,4,8,17,329,19,10,0.500,8,10,50,1010,-2,13,14
8250,33,250,33,7095,312,0.000,8,13,3,11,49,265,11,11,4.200,11,10,63,1007,4,7,16
8250,33,250,33,7095,311,0.000,9,16,5,14,29,240,19,15,2.600,14,10,53,1007,4,12,19
8250,33,250,33,7095,310,0.000,16,25,6,23,0,215,7,23,0.000,23,10,29,1018,3,5,30
8250,33,250,33,7095,309,0.000,13,23,6,22,0,311,5,23,0.000,23,10,35,1022,4,4,29
8250,33,250,33,7095,308,0.000,15,24,6,22,0,236,6,22,0.000,22,10,30,1018,2,4,29
8250,33,250,33,7095,307,0.000,14,24,6,22,4,253,8,22,0.000,22,10,21,1019,-3,5,29
8250,33,250,33,7095,306,0.000,15,25,6,23,3,262,6,23,0.000,23,10,23,1021,-1,3,30
8250,33,250,33,7095,305,0.000,14,24,6,22,2,328,6,22,0.000,22,10,26,1019,-1,4,30
8250,33,250,33,7095,304,0.000,14,23,6,21,1,281,5,20,0.000,20,10,24,1017,-2,4,28
8250,33,250,33,7095,303,0.000,14,23,6,22,0,264,5,22,0.000,22,10,26,1018,0,4,29
8250,33,250,33,7095,302,0.000,13,23,6,21,0,258,6,21,0.000,21,10,26,1019,-1,4,28
8250,33,250,33,7095,301,0.000,13,21,6,19,0,194,7,19,0.000,19,10,14,1020,-11,5,26
